10352,-0.4471,-1.5813,-0.099826,0.000000,0,1.0000,0.000627,0.215775,0.000876
10354,-0.4501,-1.9604,-0.110379,0.000000,0,1.0000,0.000629,0.215805,0.004206
10356,-0.4518,-1.9340,-0.106999,0.000000,0,1.0000,0.000639,0.215805,0.002891
10358,-0.4546,-1.8761,-0.107490,0.000000,0,1.0000,0.000646,0.215805,0.002549
10360,-0.4575,-1.8760,-0.108269,0.000000,0,1.0000,0.000652,0.215820,0.004638
10362,-0.4589,-1.9893,-0.108889,0.000000,0,1.0000,0.000663,0.215836,0.005897
10364,-0.4634,-1.9882,-0.108707,0.000000,0,1.0000,0.000678,0.215851,0.005961
10366,-0.4681,-1.8564,-0.106872,0.000000,0,1.0000,0.000693,0.215836,0.002794
10368,-0.4704,-1.8563,-0.109770,0.000000,0,1.0000,0.000699,0.215851,0.002164
10370,-0.4728,-1.8561,-0.110751,0.000000,0,1.0000,0.000705,0.215851,0.003354
10372,-0.4758,-2.0025,-0.112967,0.000000,0,1.0000,0.000713,0.215851,0.002508
10374,-0.4807,-2.1514,-0.117423,0.000000,0,1.0000,0.000719,0.215866,0.002501
10376,-0.4856,-2.0537,-0.116345,0.000000,0,1.0000,0.000725,0.215866,0.002817
10378,-0.4905,-2.1195,-0.118121,0.000000,0,1.0000,0.000732,0.215866,0.001960
10380,-0.4954,-2.1195,-0.119743,0.000000,0,1.0000,0.000736,0.215881,0.002837
10382,-0.5014,-2.1076,-0.119647,0.000000,0,1.0000,0.000743,0.215866,0.001329
10384,-0.5078,-2.0841,-0.120000,0.000000,0,1.0000,0.000746,0.215866,0.000113
10386,-0.5123,-2.0125,-0.120000,0.000000,0,1.0000,0.000746,0.215866,-0.001339
10388,-0.5177,-2.1202,-0.120000,0.000000,0,1.0000,0.000742,0.215866,-0.000989
10390,-0.5231,-2.1204,-0.120000,0.000000,0,1.0000,0.000740,0.215851,-0.002638
10392,-0.5279,-1.8665,-0.120000,0.000000,0,1.0000,0.000733,0.215836,-0.004661
10394,-0.5321,-1.6952,-0.120000,0.000000,0,1.0000,0.000721,0.215836,-0.002391
10396,-0.5366,-1.9177,-0.120000,0.000000,0,1.0000,0.000714,0.215836,-0.002964
10398,-0.5412,-1.9178,-0.120000,0.000000,0,1.0000,0.000707,0.215820,-0.004953
10400,-0.5459,-1.9884,-0.120000,0.000000,0,1.0000,0.000694,0.215820,-0.003047
10402,-0.5486,-1.7804,-0.120000,0.000000,0,1.0000,0.000686,0.215805,-0.003218
10404,-0.5524,-1.6522,-0.120000,0.000000,0,1.0000,0.000678,0.215790,-0.005291
10406,-0.5561,-1.7429,-0.120000,0.000000,0,1.0000,0.000664,0.215790,-0.003919
10408,-0.5598,-1.7429,-0.120000,0.000000,0,1.0000,0.000654,0.215775,-0.005574
10410,-0.5639,-1.6955,-0.120000,0.000000,0,1.0000,0.000640,0.215775,-0.002992
10412,-0.5691,-1.4460,-0.120000,0.000000,0,1.0000,0.000632,0.215775,-0.003533
10414,-0.5735,-1.3326,-0.120000,0.000000,0,1.0000,0.000623,0.215759,-0.004321
10416,-0.5785,-1.3761,-0.120000,0.000000,0,1.0000,0.000612,0.215759,-0.002932
10418,-0.5834,-1.3763,-0.120000,0.000000,0,1.0000,0.000604,0.215729,-0.006273
10420,-0.5892,-1.3767,-0.120000,0.000000,0,1.0000,0.000588,0.215729,-0.005226
10422,-0.5946,-1.5714,-0.120000,0.000000,0,1.0000,0.000575,0.215714,-0.004958
10424,-0.5978,-1.6109,-0.120000,0.000000,0,1.0000,0.000562,0.215714,-0.003713
10426,-0.6022,-1.5825,-0.120000,0.000000,0,1.0000,0.000553,0.215714,-0.002627
10428,-0.6066,-1.5827,-0.120000,0.000000,0,1.0000,0.000546,0.215698,-0.004472
10430,-0.6115,-1.3763,-0.120000,0.000000,0,1.0000,0.000534,0.215698,-0.002398
10432,-0.6156,-1.2277,-0.120000,0.000000,0,1.0000,0.000528,0.215698,-0.002678
10434,-0.6197,-1.3402,-0.120000,0.000000,0,1.0000,0.000521,0.215683,-0.003545
10436,-0.6251,-1.2695,-0.120000,0.000000,0,1.0000,0.000512,0.215668,-0.004097
10438,-0.6303,-1.2698,-0.120000,0.000000,0,1.0000,0.000501,0.215683,-0.002618
10440,-0.6369,-0.8456,-0.120000,0.000000,0,1.0000,0.000495,0.215683,-0.000708
10442,-0.6405,-0.9400,-0.120000,0.000000,0,1.0000,0.000493,0.215668,-0.002572
10444,-0.6446,-1.2581,-0.120000,0.000000,0,1.0000,0.000486,0.215668,-0.000579
10446,-0.6498,-1.0063,-0.120000,0.000000,0,1.0000,0.000484,0.215683,0.001224
10448,-0.6550,-1.0067,-0.120000,0.000000,0,1.0000,0.000487,0.215683,0.000545
10450,-0.6603,-1.0514,-0.120000,0.000000,0,1.0000,0.000488,0.215683,0.001813
10452,-0.6631,-0.8529,-0.120000,0.000000,0,1.0000,0.000493,0.215698,0.001961
10454,-0.6656,-0.6816,-0.119651,0.000000,0,1.0000,0.000498,0.215698,0.002505
10456,-0.6690,-0.7827,-0.120000,0.000000,0,1.0000,0.000504,0.215698,0.002097
10458,-0.6723,-0.7830,-0.120000,0.000000,0,1.0000,0.000509,0.215714,0.004219
10460,-0.6752,-0.7698,-0.120000,0.000000,0,1.0000,0.000519,0.215729,0.004084
10462,-0.6789,-0.7050,-0.120000,0.000000,0,1.0000,0.000529,0.215744,0.005789
10464,-0.6827,-0.3875,-0.113536,0.000000,0,1.0000,0.000543,0.215744,0.003807
10466,-0.6864,-0.3879,-0.115658,0.000000,0,1.0000,0.000553,0.215759,0.005716
10468,-0.6895,-0.3633,-0.114231,0.000000,0,1.0000,0.000567,0.215775,0.006041
10470,-0.6930,-0.6316,-0.119785,0.000000,0,1.0000,0.000582,0.215790,0.006462
10472,-0.6952,-0.3309,-0.114066,0.000000,0,1.0000,0.000598,0.215775,0.003232
10474,-0.6974,-0.1142,-0.112651,0.000000,0,1.0000,0.000606,0.215790,0.004012
10476,-0.6996,-0.1145,-0.112332,0.000000,0,1.0000,0.000616,0.215790,0.003731
10478,-0.7017,0.0749,-0.109252,0.000000,0,1.0000,0.000625,0.215805,0.002403
10480,-0.7028,-0.0243,-0.112557,0.000000,0,1.0000,0.000631,0.215805,0.004237
10482,-0.7035,0.1075,-0.108500,0.000000,0,1.0000,0.000641,0.215805,0.002424
10484,-0.7043,0.2933,-0.106649,0.000000,0,1.0000,0.000647,0.215820,0.004182
10486,-0.7052,0.2931,-0.105216,0.000000,0,1.0000,0.000657,0.215820,0.002593
10488,-0.7074,0.3201,-0.106476,0.000000,0,1.0000,0.000663,0.215820,0.001678
10490,-0.7100,0.2929,-0.108316,0.000000,0,1.0000,0.000667,0.215820,0.000294
10492,-0.7120,0.6037,-0.104047,0.000000,0,1.0000,0.000668,0.215836,0.000870
10494,-0.7138,0.3639,-0.108391,0.000000,0,1.0000,0.000670,0.215836,0.000671
10496,-0.7157,0.3635,-0.108908,0.000000,0,1.0000,0.000671,0.215820,-0.001215
10498,-0.7171,0.5334,-0.107811,0.000000,0,1.0000,0.000668,0.215820,-0.000818
10500,-0.7176,0.8589,-0.101184,0.000000,0,1.0000,0.000665,0.215820,-0.000687
10502,-0.7181,0.8428,-0.101443,0.000000,0,1.0000,0.000663,0.215820,-0.001623
10504,-0.7171,0.7850,-0.103368,0.000000,0,1.0000,0.000659,0.215805,-0.002517
10506,-0.7162,0.7849,-0.104094,0.000000,0,1.0000,0.000652,0.215805,-0.002029
10508,-0.7156,1.0686,-0.098028,0.000000,0,1.0000,0.000647,0.215790,-0.003776
10510,-0.7156,0.9899,-0.101166,0.000000,0,1.0000,0.000637,0.215775,-0.004111
10512,-0.7143,1.0590,-0.099907,0.000000,0,1.0000,0.000627,0.215759,-0.006034
10514,-0.7131,1.2965,-0.096518,0.000000,0,1.0000,0.000611,0.215759,-0.005061
10516,-0.7119,1.2963,-0.095661,0.000000,0,1.0000,0.000598,0.215759,-0.003232
10518,-0.7104,1.4256,-0.091417,0.000000,0,1.0000,0.000590,0.215729,-0.006104
10520,-0.7090,1.3537,-0.094792,0.000000,0,1.0000,0.000574,0.215714,-0.006410
10522,-0.7069,1.3470,-0.094765,0.000000,0,1.0000,0.000558,0.215698,-0.006385
