152968	21.399	-0.560	-22.337	-0.60	-0.04	-0.48	-0.008	0.019	-0.031	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
152976	21.397	-0.559	-22.334	-0.17	-0.07	-0.34	-0.017	0.009	-0.041	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
152984	21.397	-0.557	-22.332	-0.29	0.21	-0.40	-0.013	0.044	-0.033	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
152992	21.388	-0.563	-22.329	-0.53	-0.38	-0.30	0.003	0.025	-0.041	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153000	21.393	-0.560	-22.331	-0.23	-0.16	-0.51	0.022	0.043	-0.027	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153008	21.396	-0.556	-22.331	-0.31	-0.17	-0.52	0.016	-0.015	0.001	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153015	21.397	-0.562	-22.337	-0.46	-0.27	-0.28	0.032	-0.040	0.012	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	rho_x_lp	rho_y_lp	rho_z_lp	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale	trim_x_deg	trim_y_deg	trim_z_deg	trim_com_mm	trim_enabled
# state=DISARMED mode=CORNER armed=0 halted=0
153026	21.398	-0.566	-22.341	-0.60	-0.30	-0.22	0.021	-0.011	0.028	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153034	21.401	-0.566	-22.345	-0.41	-0.12	-0.48	0.016	-0.026	0.031	0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153042	21.403	-0.565	-22.345	-0.60	-0.34	-0.18	0.018	-0.024	0.050	0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153050	21.404	-0.562	-22.344	-0.50	-0.35	-0.27	0.000	-0.015	0.026	0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153058	21.403	-0.563	-22.344	0.00	-0.31	-0.06	-0.003	0.001	0.014	0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153066	21.397	-0.567	-22.342	-0.48	-0.41	-0.33	-0.012	-0.018	0.008	0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153074	21.391	-0.569	-22.337	-0.56	-0.46	-0.73	-0.016	0.026	-0.001	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153082	21.389	-0.568	-22.334	-0.46	-0.23	-0.32	-0.030	0.010	-0.005	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153089	21.387	-0.571	-22.335	-0.48	-0.24	-0.50	-0.017	0.038	-0.005	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
153097	21.384	-0.576	-22.336	-0.38	-0.39	-0.14	-0.009	0.049	-0.013	-0.000	-0.000	-0.000	0.1200	-0.1200	-0.1200	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.390	0
