t_ms,phi_x_deg,phi_y_deg,phi_z_deg,om_x_dps,om_y_dps,om_z_dps,rho_x,rho_y,rho_z,rho_x_lp,rho_y_lp,rho_z_lp,tau_x,tau_y,tau_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,armed,gain_scale
32026.0,40.8975,-36.7037,2.7248,-1.675,9.748,6.481,-0.051,-0.015,0.015,-0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32033.0,40.9026,-36.7221,2.7125,-1.577,10.587,6.285,-0.047,-0.001,0.052,-0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32041.0,40.9079,-36.7408,2.7003,-1.386,10.961,6.143,-0.032,-0.009,0.081,-0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32049.0,40.9131,-36.7596,2.6878,-1.096,11.457,5.779,-0.018,-0.072,0.104,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32056.0,40.9203,-36.7809,2.6749,-0.992,11.822,5.627,-0.005,-0.059,0.105,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32064.0,40.9289,-36.8012,2.664,-0.958,12.029,5.491,0.014,-0.034,0.081,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32072.0,40.9402,-36.8194,2.6574,-0.563,12.503,5.362,0.023,-0.031,0.067,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32080.0,40.9535,-36.8351,2.655,-0.18,12.58,5.008,0.022,0.003,0.031,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32088.0,40.9707,-36.8502,2.6564,0.606,12.571,4.654,0.018,-0.014,0.006,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32095.0,40.9882,-36.8657,2.6578,1.007,12.701,4.439,0.017,0.03,-0.034,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32103.0,41.0063,-36.8812,2.6596,1.358,12.426,4.68,0.002,0.028,-0.057,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32111.0,41.0263,-36.8941,2.6655,1.859,12.205,4.716,-0.004,0.075,-0.078,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32118.0,41.0491,-36.9005,2.6798,2.63,11.827,4.852,-0.003,0.096,-0.096,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32126.0,41.074,-36.9014,2.7009,3.104,11.658,4.334,-0.032,0.046,-0.081,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32134.0,41.0973,-36.9017,2.7211,3.629,11.032,4.223,-0.02,0.038,-0.063,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32142.0,41.1185,-36.9022,2.7394,4.159,10.692,4.138,-0.033,-0.002,-0.044,-0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32149.0,41.1347,-36.9048,2.7513,4.443,9.802,4.11,-0.018,0.006,-0.006,-0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32158.0,41.1531,-36.9035,2.7686,4.791,9.043,3.78,-0.016,-0.034,0.031,-0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32165.0,41.1722,-36.8974,2.791,5.41,8.299,3.377,-0.004,-0.076,0.065,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32173.0,41.1907,-36.8909,2.8131,5.623,7.813,2.802,0.009,-0.052,0.087,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32181.0,41.2042,-36.8852,2.8301,6.022,6.943,2.534,0.012,-0.049,0.09,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32188.0,41.2175,-36.8771,2.8493,6.229,5.697,2.409,0.027,0.021,0.078,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32196.0,41.235,-36.8622,2.8781,6.689,4.389,1.354,0.043,-0.022,0.085,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32204.0,41.2502,-36.8489,2.9036,7.031,3.863,0.48,0.036,-0.001,0.054,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32212.0,41.2599,-36.8364,2.9234,7.344,2.723,0.461,0.021,0.037,0.019,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32220.0,41.2665,-36.8223,2.942,7.717,1.255,0.287,0.013,0.045,-0.011,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32227.0,41.2792,-36.802,2.9716,7.916,0.356,0.246,0.006,0.058,-0.054,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32235.0,41.292,-36.779,3.0037,7.881,-0.133,-0.076,-0.008,0.045,-0.069,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32243.0,41.2992,-36.7552,3.0316,7.798,-0.729,-0.243,-0.008,0.061,-0.09,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32250.0,41.3021,-36.7305,3.0566,8.044,-1.812,-0.463,-0.025,0.039,-0.094,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32258.0,41.3011,-36.7072,3.0769,8.439,-3.443,-0.284,-0.026,0.019,-0.091,-0.0,0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32266.0,41.3036,-36.6867,3.0976,8.07,-4.164,-0.146,-0.017,-0.024,-0.071,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32274.0,41.3056,-36.6598,3.1237,7.533,-4.216,-0.72,0.01,-0.046,-0.047,-0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32282.0,41.3036,-36.6297,3.1493,6.615,-5.08,-0.205,0.019,-0.069,-0.026,-0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32289.0,41.2987,-36.5956,3.1759,6.231,-6.547,0.483,0.022,-0.033,-0.006,0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32297.0,41.2988,-36.5544,3.2134,5.456,-7.097,0.963,0.031,-0.02,0.013,0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32305.0,41.3,-36.5148,3.2503,4.609,-6.784,1.182,0.042,-0.046,0.025,0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32313.0,41.2927,-36.4827,3.2729,3.457,-6.868,1.784,0.05,-0.027,0.041,0.0,-0.0,-0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32320.0,41.2768,-36.4599,3.2796,2.689,-7.438,2.594,0.04,-0.044,0.023,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32328.0,41.2565,-36.4458,3.2745,1.847,-7.663,3.662,0.03,-0.04,0.025,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32336.0,41.2313,-36.442,3.2558,1.289,-7.503,4.167,0.02,-0.014,0.01,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32344.0,41.2072,-36.4466,3.2304,0.28,-6.988,4.767,-0.01,0.0,0.012,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32352.0,41.1773,-36.4624,3.1898,0.024,-6.864,5.322,-0.032,-0.024,0.005,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32359.0,41.1418,-36.4838,3.1391,0.067,-6.589,5.428,-0.057,0.044,-0.002,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32367.0,41.0998,-36.5145,3.0743,0.332,-5.965,6.23,-0.061,-0.02,-0.009,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32375.0,41.0601,-36.5433,3.0132,0.124,-5.436,6.332,-0.069,-0.021,-0.006,0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
32383.0,41.0241,-36.5705,2.9569,0.043,-4.663,6.591,-0.06,0.022,-0.01,-0.0,-0.0,0.0,0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
