t_ms,phi_x_deg,phi_y_deg,phi_z_deg,om_x_dps,om_y_dps,om_z_dps,rho_x,rho_y,rho_z,rho_x_lp,rho_y_lp,rho_z_lp,tau_x,tau_y,tau_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,armed,gain_scale
70545.0,32.3542,-31.5341,-0.1084,-0.186,0.137,-0.028,-0.027,-0.008,0.004,0.0,0.0,-0.0,0.12,-0.12,0.04818,0.0,0.0,0.0,0.0,1.0
70553.0,32.3499,-31.5347,-0.1127,-0.016,-0.015,0.165,-0.04,-0.002,0.008,0.0,0.0,0.0,0.12,-0.12,0.05104,0.0,0.0,0.0,0.0,1.0
70561.0,32.3506,-31.5375,-0.1147,0.084,-0.108,0.159,-0.034,0.007,0.004,0.0,0.0,-0.0,0.12,-0.12,0.04995,0.0,0.0,0.0,0.0,1.0
70568.0,32.3481,-31.5409,-0.1199,0.183,-0.072,0.023,-0.017,0.02,0.005,0.0,0.0,-0.0,0.12,-0.12,0.04825,0.0,0.0,0.0,0.0,1.0
70576.0,32.3424,-31.5428,-0.1266,-0.188,0.006,0.102,0.006,0.008,0.004,0.0,0.0,0.0,0.12,-0.12,0.04564,0.0,0.0,0.0,0.0,1.0
70584.0,32.3403,-31.5419,-0.1277,0.017,0.062,0.157,0.021,0.005,0.002,0.0,0.0,0.0,0.12,-0.12,0.04807,0.0,0.0,0.0,0.0,1.0
70592.0,32.3432,-31.5394,-0.1228,0.161,-0.038,-0.202,0.037,-0.01,0.001,0.0,0.0,0.0,0.12,-0.12,0.04374,0.0,0.0,0.0,0.0,1.0
70599.0,32.3469,-31.539,-0.1192,0.247,-0.286,0.067,0.027,-0.013,0.004,0.0,0.0,-0.0,0.12,-0.12,0.0478,0.0,0.0,0.0,0.0,1.0
70607.0,32.3464,-31.5394,-0.12,0.062,-0.161,0.02,0.049,-0.016,-0.001,0.0,0.0,-0.0,0.12,-0.12,0.04559,0.0,0.0,0.0,0.0,1.0
70615.0,32.3476,-31.5395,-0.1191,0.082,0.021,0.029,0.037,0.005,-0.002,0.0,0.0,-0.0,0.12,-0.12,0.04751,0.0,0.0,0.0,0.0,1.0
70622.0,32.3481,-31.5439,-0.1226,0.012,-0.136,0.045,0.049,0.026,-0.002,0.0,0.0,-0.0,0.12,-0.12,0.0453,0.0,0.0,0.0,0.0,1.0
