93119	-38.679	-0.060	38.603	0.81	0.10	0.03	-0.003	0.009	0.001	-0.000	0.000	-0.000	-0.1200	0.0024	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93126	-38.675	-0.052	38.609	0.65	0.52	0.19	0.014	-0.035	0.009	-0.000	0.000	-0.000	-0.1200	0.0040	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93134	-38.672	-0.045	38.613	0.64	0.62	0.21	0.016	0.008	0.019	-0.000	0.000	-0.000	-0.1200	0.0133	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93142	-38.672	-0.040	38.619	0.56	0.61	-0.23	0.025	-0.011	0.024	0.000	0.000	-0.000	-0.1200	0.0072	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93150	-38.673	-0.040	38.619	0.46	0.40	0.08	0.013	0.009	0.020	0.000	0.000	-0.000	-0.1200	0.0087	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93158	-38.676	-0.044	38.617	0.17	0.64	-0.29	-0.003	0.004	0.036	0.000	0.000	0.000	-0.1200	0.0059	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93165	-38.679	-0.048	38.616	-0.31	0.28	-0.30	-0.013	0.033	0.040	0.000	0.000	0.000	-0.1200	0.0000	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	rho_x_lp	rho_y_lp	rho_z_lp	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale	trim_x_deg	trim_y_deg	trim_z_deg	trim_com_mm	trim_enabled
93175	-38.681	-0.053	38.614	-0.21	0.19	-0.31	-0.004	-0.012	0.027	0.000	0.000	0.000	-0.1200	-0.0084	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93183	-38.687	-0.060	38.611	-0.06	0.62	-0.14	-0.011	-0.001	0.008	0.000	0.000	0.000	-0.1200	0.0010	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93191	-38.695	-0.072	38.606	0.02	0.52	-0.33	-0.015	0.009	-0.008	-0.000	0.000	0.000	-0.1200	-0.0021	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93199	-38.702	-0.082	38.601	0.21	0.42	-0.00	-0.021	0.016	-0.035	-0.000	0.000	0.000	-0.1200	-0.0007	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93207	-38.706	-0.090	38.596	-0.11	0.47	0.05	-0.025	0.003	-0.041	-0.000	0.000	0.000	-0.1200	-0.0054	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93215	-38.710	-0.094	38.596	0.19	0.28	-0.05	-0.030	-0.008	-0.036	-0.000	0.000	-0.000	-0.1200	-0.0096	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93223	-38.710	-0.093	38.598	0.10	-0.06	-0.05	0.004	0.002	-0.045	-0.000	0.000	-0.000	-0.1200	-0.0136	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93230	-38.709	-0.093	38.597	-0.09	-0.13	-0.21	-0.003	-0.014	-0.027	-0.000	0.000	-0.000	-0.1200	-0.0199	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
93238	-38.707	-0.091	38.597	-0.04	-0.00	-0.08	-0.003	0.004	-0.012	-0.000	0.000	-0.000	-0.1200	-0.0134	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
