168570	0.033	-0.084	0.048	0.35	0.05	0.67	-0.010	0.013	-0.060	0.076	-0.456	0.367	0.0075	-0.0230	0.0085	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	0.36	-0.05	0.49
168578	0.037	-0.087	0.047	0.18	-0.26	0.62	-0.005	0.008	-0.042	0.076	-0.456	0.367	0.0085	-0.0246	0.0099	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	0.33	-0.06	0.49
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	rho_x_lp	rho_y_lp	rho_z_lp	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale	trim_x_deg	trim_y_deg	trim_z_deg	trim_com_mm	trim_enabled	om_x_filt_dps	om_y_filt_d
168589	0.042	-0.090	0.046	-0.16	-0.30	0.58	0.008	0.006	-0.026	0.076	-0.456	0.367	0.0083	-0.0266	0.0153	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	0.05	-0.23	0.50
168597	0.042	-0.094	0.049	-0.37	-0.68	0.54	0.005	-0.000	0.013	0.075	-0.455	0.366	0.0061	-0.0300	0.0249	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	-0.11	-0.39	0.51
168605	0.040	-0.094	0.051	-0.55	-0.23	0.48	0.007	0.008	0.032	0.075	-0.455	0.366	0.0010	-0.0261	0.0300	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	-0.32	-0.31	0.57
168613	0.039	-0.098	0.056	-0.40	-0.53	0.95	0.003	0.010	0.064	0.075	-0.455	0.366	-0.0022	-0.0289	0.0376	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	-0.40	-0.38	0.73
168621	0.035	-0.102	0.064	-0.43	-0.20	0.85	-0.011	-0.002	0.077	0.075	-0.454	0.365	-0.0064	-0.0319	0.0412	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	-0.40	-0.36	0.83
168629	0.033	-0.107	0.071	-0.45	-0.67	0.82	-0.022	-0.009	0.066	0.075	-0.454	0.365	-0.0072	-0.0357	0.0428	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	-0.37	-0.45	0.82
168637	0.028	-0.109	0.078	-0.16	-0.14	1.17	-0.018	-0.022	0.049	0.075	-0.453	0.365	-0.0069	-0.0379	0.0428	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	-0.24	-0.33	0.91
168645	0.025	-0.115	0.086	-0.18	-0.11	0.94	-0.020	-0.012	0.038	0.075	-0.453	0.365	-0.0079	-0.0366	0.0428	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	-0.22	-0.28	0.90
168653	0.022	-0.121	0.095	0.08	-0.12	0.59	-0.010	-0.014	0.015	0.075	-0.453	0.364	-0.0036	-0.0370	0.0373	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	-0.02	-0.17	0.81
168661	0.016	-0.121	0.101	0.06	0.40	0.93	-0.016	-0.009	-0.016	0.075	-0.452	0.364	-0.0064	-0.0325	0.0312	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	0.03	0.05	0.80
168669	0.018	-0.124	0.103	0.24	0.12	0.82	0.000	-0.001	-0.039	0.075	-0.452	0.364	-0.0000	-0.0320	0.0253	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	0.23	0.10	0.74
168677	0.010	-0.125	0.112	0.22	-0.02	0.77	0.010	0.028	-0.043	0.075	-0.452	0.364	-0.0001	-0.0291	0.0276	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	0.17	0.01	0.71
168685	0.008	-0.124	0.113	0.27	0.26	0.44	0.012	0.015	-0.050	0.075	-0.451	0.363	0.0003	-0.0277	0.0242	0.0000	0.0000	0.0000	0	1.00	0.3151	0.2596	-0.5680	1.672	1	0.23	0.15	0.63
