t_ms,phi_x_deg,phi_y_deg,phi_z_deg,om_x_dps,om_y_dps,om_z_dps,rho_x,rho_y,rho_z,rho_x_lp,rho_y_lp,rho_z_lp,tau_x,tau_y,tau_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,armed,gain_scale
200945.0,-0.0094,1.4757,-1.4277,-0.103,-0.145,0.123,0.016,0.008,0.017,0.129,13.217,-15.385,0.00195,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
200953.0,-0.014,1.4731,-1.4207,-0.308,-0.287,0.154,0.021,0.005,0.026,0.129,13.206,-15.373,-0.00084,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
200961.0,-0.0149,1.469,-1.4157,-0.259,-0.14,-0.043,0.026,0.005,0.004,0.129,13.196,-15.36,0.00113,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
200969.0,-0.0165,1.4672,-1.4125,-0.323,-0.055,0.043,0.017,0.002,0.002,0.129,13.185,-15.348,-0.0031,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
200976.0,-0.0188,1.4676,-1.4104,-0.402,0.047,0.231,0.015,-0.021,0.004,0.129,13.175,-15.336,-0.00764,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
200984.0,-0.0213,1.4685,-1.4089,-0.352,0.065,0.163,0.002,-0.025,-0.004,0.129,13.164,-15.323,-0.00866,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
200992.0,-0.0228,1.4672,-1.406,-0.018,0.037,-0.037,-0.0,-0.033,-0.005,0.128,13.153,-15.311,-0.0016,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
200999.0,-0.023,1.4666,-1.4053,-0.033,0.011,0.109,-0.0,-0.021,-0.017,0.128,13.143,-15.299,-0.00303,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201007.0,-0.0254,1.4679,-1.4042,-0.068,0.062,-0.012,-0.036,-0.009,-0.005,0.128,13.132,-15.287,-0.00845,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201015.0,-0.0256,1.4691,-1.4052,0.102,0.169,-0.078,-0.014,0.008,-0.018,0.128,13.122,-15.275,-0.00322,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201023.0,-0.0281,1.4691,-1.4026,-0.069,0.019,0.031,-0.018,-0.005,-0.02,0.128,13.111,-15.262,-0.00686,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201031.0,-0.0318,1.4684,-1.3982,-0.324,-0.055,0.044,-0.006,0.006,-0.015,0.128,13.101,-15.25,-0.00969,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201039.0,-0.0339,1.4723,-1.4,-0.274,0.006,-0.068,0.003,0.04,-0.001,0.128,13.091,-15.238,-0.00769,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201046.0,-0.0348,1.472,-1.3987,-0.181,-0.242,-0.23,0.025,0.014,-0.001,0.128,13.08,-15.226,0.00073,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201054.0,-0.0343,1.4707,-1.398,-0.09,0.053,-0.193,0.026,0.032,0.006,0.128,13.07,-15.214,-0.00048,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201062.0,-0.0349,1.47,-1.3968,0.045,0.038,-0.208,0.017,0.033,0.007,0.127,13.059,-15.201,0.00067,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201069.0,-0.0325,1.4698,-1.399,0.371,0.312,-0.279,0.021,0.011,0.015,0.127,13.049,-15.189,0.00568,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201077.0,-0.0329,1.4716,-1.4003,0.57,0.169,-0.335,0.012,-0.006,0.011,0.127,13.038,-15.177,0.00961,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201085.0,-0.0334,1.4736,-1.4017,0.435,0.227,-0.363,0.011,-0.015,0.021,0.127,13.028,-15.165,0.00672,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201092.0,-0.0356,1.4746,-1.4005,0.449,0.081,-0.336,0.016,-0.015,0.007,0.127,13.017,-15.153,0.00845,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201100.0,-0.0357,1.4761,-1.4018,0.562,-0.029,-0.446,-0.003,-0.026,-0.006,0.127,13.007,-15.141,0.00951,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201108.0,-0.0322,1.4754,-1.4047,0.428,-0.273,-0.173,-0.011,-0.01,-0.014,0.127,12.997,-15.129,0.00615,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201116.0,-0.0295,1.4753,-1.4073,0.498,-0.16,-0.146,-0.014,-0.015,-0.039,0.127,12.986,-15.117,0.00653,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201124.0,-0.0251,1.4762,-1.4125,0.585,-0.391,-0.636,-0.033,0.009,-0.032,0.127,12.976,-15.104,0.01264,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201131.0,-0.0246,1.4806,-1.4173,0.392,-0.005,-0.511,-0.039,0.006,-0.037,0.127,12.965,-15.092,0.00444,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201139.0,-0.0197,1.4796,-1.4213,0.641,-0.13,-0.635,-0.03,-0.012,-0.024,0.126,12.955,-15.08,0.01286,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201147.0,-0.0171,1.479,-1.4233,0.377,-0.032,-0.364,-0.008,-0.003,-0.011,0.126,12.945,-15.068,0.00848,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201154.0,-0.0108,1.4778,-1.4284,0.591,-0.192,-0.524,-0.004,0.002,0.008,0.126,12.934,-15.056,0.01673,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201162.0,-0.0048,1.4739,-1.4306,0.527,-0.193,-0.353,0.005,0.03,0.012,0.126,12.924,-15.044,0.01654,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201170.0,0.0039,1.4675,-1.4331,0.577,-0.219,-0.377,0.019,0.02,0.021,0.126,12.914,-15.032,0.02178,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201178.0,0.0112,1.4661,-1.4391,0.472,-0.324,-0.483,0.023,0.04,0.031,0.126,12.903,-15.02,0.02377,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201185.0,0.0205,1.4634,-1.4457,0.502,-0.574,-0.475,0.033,0.03,0.023,0.126,12.893,-15.008,0.02952,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201193.0,0.0251,1.46,-1.447,0.402,-0.524,-0.425,0.026,0.019,0.024,0.126,12.883,-14.996,0.02713,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201201.0,0.0307,1.4584,-1.4511,0.162,-0.658,-0.473,0.017,0.021,0.037,0.126,12.873,-14.984,0.02442,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201209.0,0.0349,1.4579,-1.4548,0.083,-0.513,-0.328,0.009,0.003,0.016,0.126,12.862,-14.972,0.02043,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201216.0,0.0391,1.4564,-1.4575,-0.216,-0.364,-0.179,-0.016,-0.016,-0.011,0.125,12.852,-14.96,0.00992,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201224.0,0.0418,1.4572,-1.461,-0.35,-0.349,-0.165,-0.021,-0.03,-0.014,0.125,12.842,-14.948,0.00746,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201232.0,0.0482,1.4533,-1.4636,-0.124,-0.284,0.072,-0.019,-0.022,-0.014,0.125,12.831,-14.936,0.01003,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201240.0,0.0522,1.4503,-1.4647,-0.108,-0.344,0.012,-0.021,-0.04,-0.017,0.125,12.821,-14.924,0.0121,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
201248.0,0.0577,1.4446,-1.4646,-0.278,-0.236,-0.139,-0.016,-0.024,-0.025,0.125,12.811,-14.912,0.01145,0.12,-0.12,0.0,0.0,0.0,0.0,1.0
