130503,0.8674,-2.0234,1.1030,-1.298,-0.655,0.998,0.019,-0.042,-0.023,-1.163,10.751,-11.988,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130510,0.8553,-2.0202,1.1119,-1.064,-0.632,0.847,0.006,-0.020,-0.035,-1.162,10.743,-11.979,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130518,0.8483,-2.0186,1.1175,-0.844,-0.421,0.627,0.000,-0.035,-0.024,-1.161,10.734,-11.969,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130526,0.8396,-2.0224,1.1298,-0.651,-0.676,0.373,0.003,-0.028,-0.024,-1.161,10.725,-11.960,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130533,0.8313,-2.0228,1.1385,-0.816,-0.325,0.292,-0.000,-0.023,-0.018,-1.160,10.717,-11.950,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130541,0.8241,-2.0289,1.1516,-0.808,-0.542,0.078,0.012,-0.016,-0.020,-1.159,10.708,-11.941,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130549,0.8190,-2.0377,1.1653,-0.908,-0.794,0.431,0.014,0.004,-0.012,-1.158,10.700,-11.931,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130557,0.8204,-2.0507,1.1765,-1.063,-0.876,0.351,0.011,0.016,-0.011,-1.157,10.691,-11.922,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130565,0.8203,-2.0593,1.1851,-1.077,-0.946,0.540,0.013,0.041,0.003,-1.156,10.683,-11.912,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130572,0.8225,-2.0676,1.1909,-0.933,-0.918,0.051,0.012,0.035,0.015,-1.155,10.674,-11.902,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130580,0.8252,-2.0737,1.1942,-0.577,-0.938,0.032,-0.009,0.024,0.032,-1.154,10.666,-11.893,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130588,0.8283,-2.0795,1.1967,-0.457,-0.763,-0.052,-0.018,0.016,0.024,-1.153,10.657,-11.883,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130595,0.8282,-2.0826,1.1998,-0.641,-0.724,-0.012,-0.007,0.008,0.018,-1.152,10.649,-11.874,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130603,0.8237,-2.0794,1.2012,-0.281,-0.457,-0.005,-0.006,-0.009,0.004,-1.151,10.640,-11.864,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130611,0.8244,-2.0805,1.2016,-0.266,-0.431,-0.152,0.010,-0.032,-0.006,-1.150,10.632,-11.855,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130619,0.8246,-2.0765,1.1975,-0.167,-0.178,-0.504,0.002,-0.036,-0.020,-1.149,10.623,-11.845,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130627,0.8216,-2.0731,1.1971,-0.061,0.143,-0.614,-0.003,-0.029,-0.020,-1.149,10.614,-11.836,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130634,0.8243,-2.0746,1.1960,-0.017,-0.081,-0.750,0.008,-0.031,-0.025,-1.148,10.606,-11.827,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130642,0.8272,-2.0736,1.1920,0.109,0.163,-0.592,0.001,-0.006,-0.028,-1.147,10.597,-11.817,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130650,0.8295,-2.0730,1.1892,0.130,0.431,-0.669,0.006,-0.003,-0.040,-1.146,10.589,-11.808,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130658,0.8310,-2.0740,1.1886,0.171,0.621,-0.478,-0.005,0.003,-0.021,-1.145,10.581,-11.798,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130665,0.8321,-2.0722,1.1858,0.171,0.750,-0.607,-0.008,0.033,0.006,-1.144,10.572,-11.789,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130673,0.8306,-2.0667,1.1820,-0.084,0.892,-0.811,-0.009,0.015,0.010,-1.143,10.564,-11.779,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130681,0.8303,-2.0609,1.1767,-0.327,1.215,-0.574,-0.002,0.043,0.014,-1.142,10.555,-11.770,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130689,0.8319,-2.0557,1.1699,-0.036,1.238,-0.464,0.003,0.021,0.015,-1.141,10.547,-11.761,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130696,0.8326,-2.0506,1.1643,0.305,1.322,-0.466,-0.004,0.016,0.009,-1.140,10.538,-11.751,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130704,0.8375,-2.0455,1.1544,0.646,1.276,-0.339,0.005,0.009,0.010,-1.139,10.530,-11.742,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130712,0.8435,-2.0426,1.1456,1.107,1.363,-0.253,0.003,-0.016,0.011,-1.138,10.522,-11.732,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130720,0.8468,-2.0371,1.1369,1.213,1.383,-0.061,-0.012,-0.011,-0.003,-1.138,10.513,-11.723,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130728,0.8530,-2.0343,1.1280,1.843,1.404,0.132,-0.018,-0.045,0.008,-1.137,10.505,-11.714,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130735,0.8558,-2.0253,1.1165,1.849,1.905,-0.058,-0.014,-0.023,-0.014,-1.136,10.496,-11.704,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130743,0.8566,-2.0155,1.1061,1.465,2.002,0.124,-0.007,-0.026,0.007,-1.135,10.488,-11.695,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130751,0.8538,-2.0034,1.0972,1.230,2.240,0.016,-0.016,-0.025,-0.016,-1.134,10.480,-11.686,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130758,0.8531,-1.9931,1.0878,1.591,2.333,0.196,0.009,-0.005,-0.009,-1.133,10.471,-11.676,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130766,0.8541,-1.9847,1.0786,1.605,2.360,0.049,0.014,-0.004,-0.012,-1.132,10.463,-11.667,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130774,0.8524,-1.9752,1.0711,1.520,2.393,-0.004,0.015,0.023,-0.005,-1.131,10.454,-11.658,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130782,0.8526,-1.9674,1.0632,1.663,1.947,-0.019,0.026,0.028,0.003,-1.130,10.446,-11.648,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130789,0.8533,-1.9605,1.0559,1.578,2.023,-0.115,0.013,0.006,0.006,-1.129,10.438,-11.639,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130797,0.8554,-1.9532,1.0466,1.791,1.691,-0.103,0.022,0.036,0.028,-1.128,10.429,-11.630,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130805,0.8570,-1.9461,1.0381,2.011,1.773,-0.193,0.016,0.048,0.015,-1.128,10.421,-11.620,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130813,0.8624,-1.9410,1.0277,2.119,1.551,-0.502,0.021,0.038,0.015,-1.127,10.413,-11.611,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130821,0.8657,-1.9352,1.0188,1.884,1.702,-0.523,-0.009,0.021,0.014,-1.126,10.404,-11.602,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130828,0.8736,-1.9329,1.0086,1.948,1.487,-0.479,-0.010,-0.003,0.013,-1.125,10.396,-11.592,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130836,0.8811,-1.9307,0.9990,1.708,1.482,-0.656,-0.012,-0.003,0.015,-1.124,10.388,-11.583,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130844,0.8946,-1.9325,0.9872,1.837,1.139,-0.654,-0.018,-0.038,0.008,-1.123,10.380,-11.574,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130852,0.9048,-1.9335,0.9780,1.838,1.225,-0.740,-0.008,-0.036,-0.006,-1.122,10.371,-11.565,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130859,0.9141,-1.9348,0.9700,1.626,0.840,-0.778,-0.001,-0.046,0.007,-1.121,10.363,-11.555,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130867,0.9264,-1.9346,0.9575,1.735,0.618,-1.087,-0.007,-0.039,-0.010,-1.120,10.355,-11.546,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130875,0.9396,-1.9315,0.9413,1.565,0.511,-1.022,-0.003,-0.021,-0.013,-1.119,10.346,-11.537,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130882,0.9485,-1.9253,0.9263,1.360,0.758,-1.381,0.006,-0.035,-0.024,-1.119,10.338,-11.528,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
130890,0.9568,-1.9162,0.9091,1.403,1.053,-2.036,0.005,-0.021,-0.023,-1.118,10.330,-11.518,0.12000,-0.12000,0.12000,0.00000,0.00000,0.00000,0,1.000
