t_ms,phi_x_deg,phi_y_deg,phi_z_deg,om_x_dps,om_y_dps,om_z_dps,rho_x,rho_y,rho_z,rho_x_lp,rho_y_lp,rho_z_lp,tau_x,tau_y,tau_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,armed,gain_scale
24570.0,-1.4851,1.0166,0.4954,-2.064,-0.569,-2.045,0.003,0.01,0.021,-0.0,-0.0,-0.0,-0.12,0.12,0.09642,0.0,0.0,0.0,0.0,1.0
24578.0,-1.4933,1.0192,0.5011,-1.93,-0.671,-1.972,0.004,0.006,0.006,-0.0,-0.0,-0.0,-0.12,0.12,0.09637,0.0,0.0,0.0,0.0,1.0
24586.0,-1.501,1.0242,0.5039,-1.852,-0.945,-1.987,0.012,-0.005,-0.001,-0.0,-0.0,-0.0,-0.12,0.12,0.09716,0.0,0.0,0.0,0.0,1.0
24594.0,-1.5032,1.0238,0.5064,-1.901,-0.921,-1.962,-0.01,0.028,-0.026,-0.0,-0.0,-0.0,-0.12,0.12,0.09464,0.0,0.0,0.0,0.0,1.0
24602.0,-1.5015,1.0195,0.5089,-1.802,-0.972,-2.011,0.007,0.031,-0.029,-0.0,-0.0,-0.0,-0.12,0.12,0.09333,0.0,0.0,0.0,0.0,1.0
24609.0,-1.4986,1.013,0.5124,-1.452,-1.234,-2.098,-0.001,0.004,-0.029,-0.0,-0.0,-0.0,-0.12,0.12,0.09182,0.0,0.0,0.0,0.0,1.0
24617.0,-1.4897,1.0068,0.5095,-1.308,-1.293,-2.501,-0.001,-0.009,-0.035,-0.0,-0.0,-0.0,-0.12,0.12,0.08293,0.0,0.0,0.0,0.0,1.0
24625.0,-1.4761,0.9976,0.5049,-1.321,-1.234,-2.441,-0.004,0.005,-0.031,-0.0,-0.0,-0.0,-0.12,0.12,0.08293,0.0,0.0,0.0,0.0,1.0
24633.0,-1.4584,0.9838,0.5007,-1.44,-1.325,-2.443,-0.002,0.013,-0.01,-0.0,-0.0,-0.0,-0.12,0.12,0.0866,0.0,0.0,0.0,0.0,1.0
24640.0,-1.4419,0.968,0.4995,-1.679,-1.332,-2.62,0.003,0.006,0.004,-0.0,-0.0,-0.0,-0.12,0.12,0.08778,0.0,0.0,0.0,0.0,1.0
