14301	-0.215	-37.805	36.628	-2.14	3.59	4.63	-0.053	0.033	-0.001	0.0220	-0.0001	0.0182	0.0000	0.0000	0.0000	0	1.00
14308	-0.263	-37.827	36.608	-2.08	3.44	4.30	-0.068	-0.003	-0.018	0.0194	0.0008	0.0152	0.0000	0.0000	0.0000	0	1.00
14316	-0.314	-37.852	36.587	-1.70	3.72	4.49	-0.080	0.010	-0.018	0.0300	0.0064	0.0186	0.0000	0.0000	0.0000	0	1.00
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
14325	-0.375	-37.883	36.564	-1.63	3.40	4.52	-0.055	-0.024	-0.050	0.0293	0.0016	0.0225	0.0000	0.0000	0.0000	0	1.00
14332	-0.421	-37.907	36.546	-1.75	3.22	4.61	-0.037	-0.033	-0.040	0.0264	-0.0029	0.0244	0.0000	0.0000	0.0000	0	1.00
14339	-0.462	-37.930	36.533	-1.93	2.92	4.56	-0.012	-0.022	-0.041	0.0205	-0.0087	0.0251	0.0000	0.0000	0.0000	0	1.00
14347	-0.500	-37.952	36.520	-1.85	2.64	4.55	-0.001	0.007	-0.045	0.0199	-0.0124	0.0281	0.0000	0.0000	0.0000	0	1.00
14354	-0.525	-37.967	36.514	-1.61	2.62	4.44	0.031	0.014	-0.040	0.0233	-0.0100	0.0286	0.0000	0.0000	0.0000	0	1.00
14362	-0.550	-37.979	36.504	-1.71	2.58	4.15	0.055	0.001	-0.020	0.0190	-0.0087	0.0238	0.0000	0.0000	0.0000	0	1.00
14369	-0.570	-37.988	36.495	-1.69	2.44	4.17	0.069	0.020	0.020	0.0184	-0.0111	0.0256	0.0000	0.0000	0.0000	0	1.00
14376	-0.586	-37.997	36.488	-1.70	2.20	4.53	0.070	0.002	0.015	0.0192	-0.0183	0.0331	0.0000	0.0000	0.0000	0	1.00
14384	-0.600	-38.002	36.482	-1.69	1.92	4.69	0.059	0.005	0.024	0.0187	-0.0240	0.0380	0.0000	0.0000	0.0000	0	1.00
14391	-0.620	-38.008	36.470	-1.87	1.79	4.90	0.050	-0.008	0.034	0.0160	-0.0294	0.0408	0.0000	0.0000	0.0000	0	1.00
14398	-0.636	-38.013	36.461	-1.59	2.00	4.93	0.040	-0.008	0.022	0.0230	-0.0242	0.0417	0.0000	0.0000	0.0000	0	1.00
14405	-0.663	-38.022	36.446	-1.93	2.68	4.49	0.015	-0.015	0.023	0.0182	-0.0118	0.0261	0.0000	0.0000	0.0000	0	1.00
14413	-0.688	-38.032	36.433	-1.66	3.21	3.89	0.003	-0.026	0.031	0.0225	0.0040	0.0147	0.0000	0.0000	0.0000	0	1.00
14420	-0.714	-38.045	36.423	-1.60	3.60	3.77	-0.009	-0.016	0.028	0.0254	0.0118	0.0097	0.0000	0.0000	0.0000	0	1.00
14427	-0.747	-38.065	36.414	-1.49	3.36	3.79	-0.027	-0.009	0.006	0.0259	0.0086	0.0132	0.0000	0.0000	0.0000	0	1.00
14435	-0.779	-38.087	36.407	-1.70	3.30	4.17	-0.025	0.021	-0.001	0.0244	0.0027	0.0175	0.0000	0.0000	0.0000	0	1.00
14442	-0.813	-38.111	36.401	-1.54	2.52	4.68	-0.035	0.028	-0.038	0.0258	-0.0133	0.0337	0.0000	0.0000	0.0000	0	1.00
14449	-0.845	-38.137	36.398	-1.28	2.20	4.63	-0.040	0.055	-0.051	0.0280	-0.0159	0.0379	0.0000	0.0000	0.0000	0	1.00
14457	-0.875	-38.159	36.392	-0.80	1.94	4.20	-0.047	0.066	-0.042	0.0316	-0.0127	0.0378	0.0000	0.0000	0.0000	0	1.00
14464	-0.907	-38.180	36.385	-0.44	2.09	3.58	-0.050	0.067	-0.029	0.0347	-0.0019	0.0302	0.0000	0.0000	0.0000	0	1.00
14472	-0.939	-38.197	36.373	-0.41	2.32	3.12	-0.026	0.021	-0.009	0.0333	0.0061	0.0215	0.0000	0.0000	0.0000	0	1.00
14479	-0.971	-38.211	36.358	-0.41	2.75	2.25	-0.000	-0.007	0.009	0.0299	0.0208	0.0048	0.0000	0.0000	0.0000	0	1.00
14486	-1.008	-38.227	36.342	-0.30	3.38	1.84	0.002	-0.013	0.010	0.0331	0.0352	-0.0061	0.0000	0.0000	0.0000	0	1.00
14494	-1.039	-38.241	36.328	-0.27	3.56	0.99	0.014	-0.045	0.021	0.0285	0.0460	-0.0201	0.0000	0.0000	0.0000	0	1.00
14501	-1.067	-38.255	36.317	-0.40	3.66	0.92	0.017	-0.042	0.025	0.0262	0.0472	-0.0231	0.0000	0.0000	0.0000	0	1.00
14509	-1.091	-38.267	36.308	-0.26	3.45	0.98	0.021	-0.046	0.014	0.0279	0.0445	-0.0192	0.0000	0.0000	0.0000	0	1.00
14516	-1.106	-38.275	36.302	-0.06	3.15	0.77	0.020	-0.048	0.007	0.0277	0.0431	-0.0180	0.0000	0.0000	0.0000	0	1.00
14523	-1.114	-38.277	36.297	0.19	3.03	0.65	0.024	-0.036	-0.016	0.0305	0.0440	-0.0166	0.0000	0.0000	0.0000	0	1.00
14531	-1.113	-38.273	36.294	0.67	2.92	0.37	0.012	-0.011	-0.005	0.0366	0.0485	-0.0158	0.0000	0.0000	0.0000	0	1.00
14538	-1.115	-38.267	36.286	0.94	3.04	-0.55	-0.003	-0.006	-0.012	0.0354	0.0607	-0.0283	0.0000	0.0000	0.0000	0	1.00
14545	-1.113	-38.257	36.279	1.17	3.12	-1.07	-0.002	0.018	0.006	0.0363	0.0684	-0.0350	0.0000	0.0000	0.0000	0	1.00
14553	-1.108	-38.244	36.270	1.22	3.36	-1.36	0.002	-0.004	0.005	0.0367	0.0751	-0.0409	0.0000	0.0000	0.0000	0	1.00
14560	-1.107	-38.232	36.260	0.88	3.62	-1.70	-0.014	0.018	0.008	0.0296	0.0799	-0.0512	0.0000	0.0000	0.0000	0	1.00
14567	-1.110	-38.222	36.247	0.59	3.60	-1.81	0.006	0.013	0.006	0.0232	0.0783	-0.0550	0.0000	0.0000	0.0000	0	1.00
14575	-1.110	-38.213	36.238	0.78	3.65	-1.94	0.005	-0.007	-0.002	0.0260	0.0816	-0.0558	0.0000	0.0000	0.0000	0	1.00
14582	-1.109	-38.205	36.231	0.59	3.64	-1.85	-0.003	0.020	0.005	0.0232	0.0794	-0.0560	0.0000	0.0000	0.0000	0	1.00
14590	-1.106	-38.198	36.227	0.51	3.42	-1.65	-0.009	-0.005	-0.007	0.0215	0.0733	-0.0516	0.0000	0.0000	0.0000	0	1.00
14597	-1.101	-38.191	36.224	0.64	3.18	-1.45	-0.001	0.025	-0.014	0.0239	0.0688	-0.0454	0.0000	0.0000	0.0000	0	1.00
14605	-1.095	-38.185	36.224	0.47	2.95	-1.25	-0.010	0.009	-0.026	0.0206	0.0620	-0.0417	0.0000	0.0000	0.0000	0	1.00
14612	-1.090	-38.179	36.222	0.44	2.65	-1.03	-0.008	0.005	-0.022	0.0195	0.0550	-0.0359	0.0000	0.0000	0.0000	0	1.00
14620	-1.081	-38.170	36.223	0.64	2.38	-0.95	-0.014	-0.006	-0.033	0.0218	0.0514	-0.0307	0.0000	0.0000	0.0000	0	1.00
