# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
6914	0	0.0000	0	-33.014	-31.039	1.172	7.57	-6.74	-1.79	-0.012	-0.005	0.021
6921	0	0.0000	0	-32.974	-31.069	1.237	8.39	-7.00	-2.14	-0.000	-0.038	0.012
6928	0	0.0000	0	-32.930	-31.107	1.313	7.82	-7.41	-1.69	0.035	-0.058	0.014
6935	0	0.0000	0	-32.886	-31.149	1.392	6.83	-6.33	-1.46	0.067	-0.103	-0.006
6942	0	0.0000	0	-32.837	-31.195	1.480	5.50	-5.16	-1.41	0.099	-0.113	-0.010
6949	0	0.0000	0	-32.789	-31.239	1.565	5.32	-4.61	-1.46	0.109	-0.104	0.003
6956	0	0.0000	0	-32.742	-31.283	1.649	4.94	-3.84	-1.64	0.110	-0.089	0.004
6963	0	0.0000	0	-32.705	-31.320	1.719	4.19	-3.18	-2.18	0.084	-0.058	0.016
6970	0	0.0000	0	-32.676	-31.357	1.779	4.14	-3.08	-3.72	0.058	-0.026	0.022
6977	0	0.0000	0	-32.653	-31.394	1.836	5.10	-3.50	-5.42	-0.003	0.055	0.052
6984	0	0.0000	0	-32.643	-31.433	1.883	5.93	-4.20	-6.20	-0.053	0.118	0.058
6991	0	0.0000	0	-32.642	-31.470	1.920	7.60	-5.17	-7.86	-0.100	0.165	0.053
6998	0	0.0000	0	-32.644	-31.508	1.955	9.34	-6.77	-9.80	-0.155	0.188	0.067
7004	0	0.0000	0	-32.641	-31.552	2.000	10.91	-7.95	-11.58	-0.184	0.200	0.069
7011	0	0.0000	0	-32.631	-31.593	2.049	11.49	-8.26	-12.50	-0.171	0.164	0.045
7018	0	0.0000	0	-32.617	-31.630	2.098	11.60	-7.84	-13.88	-0.133	0.092	0.024
7025	0	0.0000	0	-32.596	-31.669	2.153	11.50	-7.43	-14.94	-0.093	0.019	-0.004
7032	0	0.0000	0	-32.568	-31.707	2.215	11.13	-6.36	-16.28	-0.034	-0.046	-0.016
7039	0	0.0000	0	-32.531	-31.741	2.281	10.62	-6.15	-17.36	0.035	-0.094	-0.037
7046	0	0.0000	0	-32.491	-31.776	2.351	9.37	-5.85	-18.53	0.122	-0.122	-0.034
7053	0	0.0000	0	-32.444	-31.818	2.432	8.49	-6.76	-20.13	0.169	-0.132	-0.047
