514519	33.595	0.491	-34.080	-0.05	0.38	0.32	0.026	-0.009	-0.001	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514527	33.603	0.483	-34.081	-0.02	-0.15	-0.13	0.024	-0.004	0.002	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514535	33.609	0.475	-34.079	-0.16	0.01	-0.14	-0.011	-0.005	0.006	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	rho_x_lp	rho_y_lp	rho_z_lp	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale	trim_x_deg	trim_y_deg	trim_z_deg	trim_com_mm	trim_enabled	om_x_filt_dps	om_y_filt_d
514546	33.608	0.468	-34.071	-0.12	-0.06	-0.12	-0.023	-0.004	0.007	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514555	33.611	0.474	-34.079	-0.33	-0.27	-0.33	-0.044	0.012	-0.002	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514563	33.608	0.488	-34.090	0.15	0.21	-0.02	-0.073	-0.009	-0.004	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514571	33.599	0.498	-34.091	-0.01	0.17	-0.15	-0.066	-0.017	-0.005	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514579	33.593	0.502	-34.088	0.16	-0.15	0.22	-0.070	0.005	-0.008	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514587	33.597	0.503	-34.094	-0.25	0.02	0.13	-0.041	0.007	-0.013	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514595	33.599	0.503	-34.096	0.19	-0.05	-0.12	-0.020	0.008	-0.005	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514604	33.594	0.504	-34.092	-0.07	-0.21	-0.02	0.008	-0.012	0.008	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514612	33.593	0.503	-34.090	-0.13	-0.13	0.07	0.037	0.001	0.029	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514620	33.593	0.506	-34.093	0.17	-0.17	0.12	0.061	-0.003	0.013	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
