started - CORNER STAGE 3: POSITION + RATE (WiFi build, cube held by hand)
all stopped
# mount DCM check: det=1.0000  |row0|=1.0000  |row1|=1.0000  |row2|=1.0000
BMI270 connected!
# calibrating gyro bias -- keep the cube PERFECTLY STILL (~2s)
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6091 runner_up=[-1,-1,+1] dot=0.6020)
# WARNING: best and runner-up corners are close -- verify before arming.
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
# STARTS DISARMED, gGainScale=0.1. Send a1 to arm, a0 to
# disarm, g<0..1> to step gain, m<deg> to widen/narrow kMaxTilt.
# h1 halts (idle + disarm), h0 resumes (still disarmed).
# WiFi build: d<N> sets telemetry decimation (d2 = 250 Hz,
#   d20 = 25 Hz readable), l<0/1phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
20234	1.682	1.246	-2.895	-0.13	1.25	-1.93	-0.007	0.005	0.024	0.0354	0.0299	-0.0638	0.0000	0.0000	0.0000	0	0.10
20241	1.687	1.257	-2.912	0.02	1.48	-2.31	0.005	0.002	0.033	0.0359	0.0307	-0.0651	0.0000	0.0000	0.0000	0	0.10
20249	1.693	1.263	-2.923	0.25	1.29	-2.24	-0.001	-0.005	0.021	0.0366	0.0302	-0.0652	0.0000	0.0000	0.0000	0	0.10
20256	1.696	1.272	-2.935	0.33	1.06	-2.30	0.024	0.011	0.021	0.0370	0.0300	-0.0655	0.0000	0.0000	0.0000	0	0.10
20264	1.694	1.280	-2.941	0.37	1.26	-2.44	0.011	0.002	0.002	0.0370	0.0306	-0.0660	0.0000	0.0000	0.0000	0	0.10
20271	1.691	1.289	-2.947	0.12	1.17	-2.53	0.025	-0.009	0.006	0.0367	0.0309	-0.0660	0.0000	0.0000	0.0000	0	0.10
20279	1.686	1.302	-2.954	0.25	1.50	-2.46	0.018	-0.004	-0.004	0.0364	0.0316	-0.0664	0.0000	0.0000	0.0000	0	0.10
20286	1.686	1.313	-2.965	0.35	1.49	-2.55	0.011	-0.008	0.004	0.0367	0.0318	-0.0669	0.0000	0.0000	0.0000	0	0.10
20294	1.685	1.329	-2.980	0.26	1.48	-2.56	0.011	-0.016	-0.006	0.0365	0.0322	-0.0671	0.0000	0.0000	0.0000	0	0.10
20301	1.687	1.341	-2.994	0.24	1.30	-2.57	0.001	-0.006	0.001	0.0367	0.0322	-0.0672	0.0000	0.0000	0.0000	0	0.10
20308	1.693	1.356	-3.014	0.58	1.34	-2.53	-0.008	0.006	0.005	0.0373	0.0323	-0.0679	0.0000	0.0000	0.0000	0	0.10
20316	1.703	1.367	-3.036	0.84	0.62	-2.48	-0.026	0.022	0.001	0.0386	0.0309	-0.0679	0.0000	0.0000	0.0000	0	0.10
20323	1.712	1.382	-3.058	1.29	0.51	-2.51	-0.016	0.033	-0.003	0.0397	0.0307	-0.0687	0.0000	0.0000	0.0000	0	0.10
20330	1.720	1.399	-3.082	1.39	0.13	-2.54	-0.035	0.028	0.004	0.0403	0.0303	-0.0690	0.0000	0.0000	0.0000	0	0.10
20338	1.728	1.417	-3.108	1.40	0.11	-2.64	-0.020	0.023	-0.004	0.0406	0.0307	-0.0698	0.0000	0.0000	0.0000	0	0.10
20345	1.732	1.434	-3.130	1.34	0.16	-2.52	-0.019	0.019	0.002	0.0405	0.0311	-0.0700	0.0000	0.0000	0.0000	0	0.10
20352	1.736	1.454	-3.152	1.21	0.24	-2.26	-0.001	-0.006	-0.015	0.0400	0.0315	-0.0699	0.0000	0.0000	0.0000	0	0.10
20360	1.742	1.469	-3.173	0.96	0.33	-2.09	0.001	-0.035	-0.026	0.0395	0.0321	-0.0699	0.0000	0.0000	0.0000	0	0.10
20367	1.750	1.483	-3.194	1.03	0.44	-2.07	0.012	-0.045	-0.037	0.0397	0.0325	-0.0705	0.0000	0.0000	0.0000	0	0.10
20374	1.762	1.490	-3.213	1.06	0.22	-1.77	0.011	-0.055	-0.009	0.0399	0.0319	-0.0702	0.0000	0.0000	0.0000	0	0.10
20382	1.778	1.493	-3.232	1.12	-0.11	-1.93	0.015	-0.019	0.000	0.0407	0.0315	-0.0706	0.0000	0.0000	0.0000	0	0.10
20389	1.798	1.495	-3.254	1.54	-0.34	-1.90	0.008	-0.023	-0.002	0.0421	0.0307	-0.0712	0.0000	0.0000	0.0000	0	0.10
20396	1.815	1.494	-3.270	1.56	-0.51	-1.55	0.001	-0.022	0.004	0.0422	0.0301	-0.0708	0.0000	0.0000	0.0000	0	0.10
20403	1.832	1.495	-3.289	1.32	-0.80	-1.76	-0.002	0.007	-0.015	0.0426	0.0300	-0.0711	0.0000	0.0000	0.0000	0	0.10
20411	1.846	1.496	-3.304	1.31	-0.47	-1.34	-0.010	0.030	-0.001	0.0423	0.0303	-0.0710	0.0000	0.0000	0.0000	0	0.10
20418	1.857	1.497	-3.316	1.24	-0.41	-1.54	-0.003	0.017	-0.004	0.0425	0.0306	-0.0715	0.0000	0.0000	0.0000	0	0.10
20425	1.870	1.496	-3.327	1.00	-0.46	-1.68	-0.003	0.031	0.017	0.0425	0.0308	-0.0717	0.0000	0.0000	0.0000	0	0.10
20433	1.877	1.494	-3.333	0.84	-0.02	-1.84	-0.005	0.011	0.004	0.0422	0.0319	-0.0724	0.0000	0.0000	0.0000	0	0.10
20440	1.884	1.493	-3.338	1.07	0.13	-1.69	-0.002	0.015	0.005	0.0424	0.0318	-0.0726	0.0000	0.0000	0.0000	0	0.10
20447	1.895	1.488	-3.344	1.10	0.25	-1.74	-0.004	0.026	0.000	0.0426	0.0319	-0.0729	0.0000	0.0000	0.0000	0	0.10
20455	1.905	1.477	-3.345	1.36	-0.06	-1.80	0.006	-0.001	-0.001	0.0436	0.0309	-0.0730	0.0000	0.0000	0.0000	0	0.10
20462	1.917	1.468	-3.347	1.41	-0.13	-1.78	0.006	0.011	0.013	0.0440	0.0306	-0.0730	0.0000	0.0000	0.0000	0	0.10
20469	1.929	1.461	-3.352	1.85	-0.73	-1.51	-0.005	-0.025	0.014	0.0452	0.0288	-0.0725	0.0000	0.0000	0.0000	0	0.10
20477	1.939	1.459	-3.361	1.72	-0.60	-1.29	-0.001	-0.029	-0.000	0.0449	0.0289	-0.0723	0.0000	0.0000	0.0000	0	0.10
20484	1.946	1.463	-3.372	1.53	-0.47	-1.34	-0.004	-0.038	-0.007	0.0447	0.0294	-0.0726	0.0000	0.0000	0.0000	0	0.10
20491	1.954	1.468	-3.384	1.47	-0.10	-1.23	-0.002	-0.043	-0.013	0.0443	0.0301	-0.0729	0.0000	0.0000	0.0000	0	0.10
20499	1.960	1.479	-3.401	1.07	-0.06	-1.19	0.004	-0.041	-0.010	0.0437	0.0307	-0.0729	0.0000	0.0000	0.0000	0	0.10
20506	1.971	1.493	-3.425	1.01	0.44	-1.21	0.012	-0.038	-0.003	0.0434	0.0320	-0.0738	0.0000	0.0000	0.0000	0	0.10
20514	1.986	1.502	-3.449	1.13	0.62	-1.29	0.011	-0.040	-0.006	0.0439	0.0325	-0.0746	0.0000	0.0000	0.0000	0	0.10
20521	2.007	1.504	-3.471	0.87	0.69	-1.74	0.023	-0.013	-0.008	0.0442	0.0332	-0.0757	0.0000	0.0000	0.0000	0	0.10
20529	2.028	1.498	-3.487	1.28	0.43	-1.57	0.007	-0.002	-0.007	0.0454	0.0321	-0.0759	0.0000	0.0000	0.0000	0	0.10
20536	2.045	1.492	-3.499	1.18	0.31	-1.35	-0.011	0.033	0.000	0.0455	0.0317	-0.0755	0.0000	0.0000	0.0000	0	0.10
20543	2.060	1.482	-3.504	1.03	0.16	-1.06	0.011	0.015	0.014	0.0454	0.0311	-0.0749	0.0000	0.0000	0.0000	0	0.10
20551	2.071	1.472	-3.505	0.79	0.36	-0.69	-0.019	0.051	-0.003	0.0447	0.0312	-0.0742	0.0000	0.0000	0.0000	0	0.10
20558	2.077	1.467	-3.507	0.24	0.72	-0.50	-0.002	0.019	0.012	0.0434	0.0320	-0.0738	0.0000	0.0000	0.0000	0	0.10
20565	2.077	1.466	-3.506	-0.76	0.76	0.14	0.000	0.032	0.003	0.0411	0.0324	-0.0718	0.0000	0.0000	0.0000	0	0.10
20573	2.078	1.469	-3.509	-1.12	1.15	0.53	0.011	0.010	0.002	0.0398	0.0331	-0.0712	0.0000	0.0000	0.0000	0	0.10
20580	2.080	1.474	-3.516	-1.02	1.31	0.70	0.006	-0.036	0.007	0.0397	0.0333	-0.0713	0.0000	0.0000	0.0000	0	0.10
20587	2.084	1.480	-3.526	-1.00	1.58	0.62	-0.014	-0.018	-0.002	0.0397	0.0339	-0.0718	0.0000	0.0000	0.0000	0	0.10
20595	2.090	1.484	-3.536	-0.84	1.70	0.66	-0.008	-0.039	0.010	0.0399	0.0341	-0.0722	0.0000	0.0000	0.0000	0	0.10
20602	2.091	1.492	-3.545	-1.10	1.93	0.37	-0.017	-0.024	0.007	0.0396	0.0351	-0.0729	0.0000	0.0000	0.0000	0	0.10
20609	2.091	1.500	-3.553	-1.00	1.81	0.07	-0.020	-0.016	0.007	0.0401	0.0352	-0.0735	0.0000	0.0000	0.0000	0	0.10
20617	2.082	1.510	-3.553	-1.16	2.23	0.23	-0.014	-0.001	0.007	0.0392	0.0362	-0.0735	0.0000	0.0000	0.0000	0	0.10
20624	2.069	1.520	-3.550	-1.45	2.53	0.54	-0.009	0.017	0.002	0.0378	0.0370	-0.0729	0.0000	0.0000	0.0000	0	0.10
20631	2.047	1.533	-3.541	-2.35	2.70	0.53	0.008	0.032	-0.012	0.0358	0.0383	-0.0720	0.0000	0.0000	0.0000	0	0.10
20639	2.029	1.540	-3.529	-2.54	2.82	0.92	0.028	0.019	-0.013	0.0346	0.0385	-0.0710	0.0000	0.0000	0.0000	0	0.10
20646	2.004	1.555	-3.519	-3.11	3.22	0.88	0.014	0.036	-0.001	0.0328	0.0400	-0.0707	0.0000	0.0000	0.0000	0	0.10
20653	1.979	1.571	-3.509	-3.43	3.31	0.89	0.015	0.035	0.006	0.0317	0.0408	-0.0703	0.0000	0.0000	0.0000	0	0.10
20661	1.957	1.583	-3.500	-3.34	3.41	0.82	0.027	0.031	0.007	0.0313	0.0412	-0.0704	0.0000	0.0000	0.0000	0	0.10
20668	1.935	1.599	-3.493	-3.48	3.42	0.83	0.017	0.036	0.030	0.0306	0.0417	-0.0701	0.0000	0.0000	0.0000	0	0.10
20675	1.914	1.614	-3.486	-2.92	3.22	0.80	-0.003	0.025	0.024	0.0314	0.0412	-0.0703	0.0000	0.0000	0.0000	0	0.10
20683	1.893	1.633	-3.483	-2.91	3.16	0.74	-0.011	0.010	0.011	0.0310	0.0415	-0.0703	0.0000	0.0000	0.0000	0	0.10
20690	1.866	1.655	-3.478	-3.09	3.15	0.82	-0.025	-0.016	0.007	0.0301	0.0420	-0.0699	0.0000	0.0000	0.0000	0	0.10
20697	1.838	1.681	-3.476	-2.90	3.44	0.77	-0.039	-0.021	-0.001	0.0297	0.0430	-0.0704	0.0000	0.0000	0.0000	0	0.10
20705	1.803	1.715	-3.474	-3.32	3.72	0.70	-0.027	-0.041	-0.005	0.0281	0.0446	-0.0703	0.0000	0.0000	0.0000	0	0.10
20712	1.766	1.753	-3.474	-3.58	3.95	0.41	-0.016	-0.044	-0.009	0.0269	0.0463	-0.0708	0.0000	0.0000	0.0000	0	0.10
20719	1.731	1.790	-3.475	-3.96	4.09	0.55	0.008	-0.047	-0.003	0.0253	0.0475	-0.0703	0.0000	0.0000	0.0000	0	0.10
20726	1.699	1.824	-3.476	-4.06	4.01	0.72	0.007	-0.030	-0.010	0.0244	0.0480	-0.0698	0.0000	0.0000	0.0000	0	0.10
20734	1.669	1.857	-3.478	-4.03	3.85	0.65	0.010	-0.018	-0.018	0.0241	0.0484	-0.0699	0.0000	0.0000	0.0000	0	0.10
20741	1.641	1.887	-3.479	-3.91	3.18	0.67	0.017	-0.003	-0.008	0.0243	0.0477	-0.0694	0.0000	0.0000	0.0000	0	0.10
20748	1.617	1.914	-3.482	-3.63	2.72	0.64	0.016	0.011	-0.009	0.0247	0.0472	-0.0694	0.0000	0.0000	0.0000	0	0.10
20756	1.589	1.941	-3.480	-3.20	2.42	0.60	0.008	0.021	-0.004	0.0251	0.0469	-0.0695	0.0000	0.0000	0.0000	0	0.10
20763	1.560	1.969	-3.479	-3.15	2.23	0.75	0.006	0.025	-0.002	0.0246	0.0470	-0.0691	0.0000	0.0000	0.0000	0	0.10
20770	1.524	1.999	-3.471	-3.37	2.41	0.58	0.015	0.038	-0.004	0.0235	0.0483	-0.0692	0.0000	0.0000	0.0000	0	0.10
20778	1.481	2.033	-3.462	-3.29	2.50	0.50	0.002	0.023	-0.002	0.0228	0.0491	-0.0693	0.0000	0.0000	0.0000	0	0.10
20785	1.437	2.065	-3.448	-4.08	2.56	0.82	0.001	0.013	-0.005	0.0202	0.0503	-0.0678	0.0000	0.0000	0.0000	0	0.10
20792	1.393	2.092	-3.431	-4.01	2.67	0.85	-0.001	0.015	-0.015	0.0193	0.0510	-0.0675	0.0000	0.0000	0.0000	0	0.10
20800	1.355	2.115	-3.415	-3.87	1.93	1.13	-0.005	-0.002	-0.025	0.0191	0.0498	-0.0662	0.0000	0.0000	0.0000	0	0.10
20807	1.323	2.134	-3.402	-3.20	1.78	0.82	-0.011	0.017	-0.022	0.0200	0.0496	-0.0670	0.0000	0.0000	0.0000	0	0.10
20814	1.296	2.148	-3.388	-3.05	1.12	0.59	-0.026	0.006	-0.005	0.0205	0.0487	-0.0666	0.0000	0.0000	0.0000	0	0.10
20822	1.268	2.161	-3.373	-2.65	0.75	0.56	-0.021	0.012	0.013	0.0209	0.0480	-0.0664	0.0000	0.0000	0.0000	0	0.10
20829	1.246	2.173	-3.362	-2.29	0.63	0.53	-0.023	0.003	0.003	0.0212	0.0478	-0.0665	0.0000	0.0000	0.0000	0	0.10
20837	1.224	2.187	-3.354	-1.92	0.22	0.47	-0.023	-0.008	0.025	0.0218	0.0471	-0.0664	0.0000	0.0000	0.0000	0	0.10
20844	1.200	2.206	-3.349	-1.61	0.06	0.21	-0.023	0.012	0.021	0.0222	0.0471	-0.0669	0.0000	0.0000	0.0000	0	0.10
20851	1.182	2.222	-3.347	-1.31	-0.22	-0.24	-0.005	-0.028	0.026	0.0230	0.0471	-0.0676	0.0000	0.0000	0.0000	0	0.10
20859	1.164	2.238	-3.344	-1.24	-0.22	-0.41	0.004	-0.025	0.027	0.0229	0.0475	-0.0679	0.0000	0.0000	0.0000	0	0.10
20866	1.151	2.253	-3.345	-1.02	-0.25	-1.13	0.014	-0.024	0.025	0.0237	0.0482	-0.0694	0.0000	0.0000	0.0000	0	0.10
20873	1.137	2.265	-3.343	-0.83	-0.22	-0.93	0.022	-0.029	0.024	0.0236	0.0482	-0.0692	0.0000	0.0000	0.0000	0	0.10
20881	1.122	2.273	-3.336	-0.83	-0.47	-1.10	0.035	-0.012	0.026	0.0236	0.0480	-0.0691	0.0000	0.0000	0.0000	0	0.10
20888	1.111	2.268	-3.320	-0.36	-0.99	-0.84	0.031	-0.006	-0.005	0.0244	0.0463	-0.0683	0.0000	0.0000	0.0000	0	0.10
20896	1.105	2.261	-3.307	-0.50	-1.43	-0.67	0.036	0.009	-0.018	0.0243	0.0454	-0.0672	0.0000	0.0000	0.0000	0	0.10
20903	1.103	2.252	-3.297	0.19	-2.09	-0.29	0.022	0.036	-0.036	0.0256	0.0431	-0.0664	0.0000	0.0000	0.0000	0	0.10
20910	1.109	2.238	-3.288	0.30	-2.46	-0.14	0.017	0.038	-0.042	0.0261	0.0419	-0.0658	0.0000	0.0000	0.0000	0	0.10
20918	1.113	2.226	-3.281	0.66	-2.60	-0.46	-0.002	0.013	-0.015	0.0272	0.0414	-0.0664	0.0000	0.0000	0.0000	0	0.10
20925	1.121	2.217	-3.279	0.78	-2.60	-0.37	-0.025	0.018	-0.031	0.0275	0.0410	-0.0663	0.0000	0.0000	0.0000	0	0.10
20933	1.128	2.207	-3.278	0.75	-2.44	-0.29	-0.043	0.001	-0.016	0.0274	0.0411	-0.0663	0.0000	0.0000	0.0000	0	0.10
20940	1.134	2.200	-3.278	0.65	-2.63	-0.31	-0.031	-0.037	-0.010	0.0275	0.0407	-0.0661	0.0000	0.0000	0.0000	0	0.10
20947	1.149	2.190	-3.282	0.75	-2.26	-0.47	-0.031	-0.048	-0.003	0.0278	0.0412	-0.0668	0.0000	0.0000	0.0000	0	0.10
20955	1.162	2.180	-3.285	0.65	-2.45	-0.49	-0.021	-0.042	-0.003	0.0281	0.0407	-0.0667	0.0000	0.0000	0.0000	0	0.10
20962	1.181	2.165	-3.290	0.98	-2.40	-0.78	-0.019	-0.041	0.014	0.0293	0.0405	-0.0676	0.0000	0.0000	0.0000	0	0.10
20970	1.204	2.151	-3.299	1.16	-2.46	-1.10	-0.003	-0.054	0.035	0.0304	0.0402	-0.0685	0.0000	0.0000	0.0000	0	0.10
20977	1.225	2.135	-3.304	1.28	-2.75	-1.04	0.004	-0.017	0.034	0.0312	0.0392	-0.0683	0.0000	0.0000	0.0000	0	0.10
20984	1.245	2.120	-3.310	1.18	-2.65	-1.03	0.019	0.001	0.028	0.0314	0.0391	-0.0684	0.0000	0.0000	0.0000	0	0.10
20992	1.261	2.104	-3.310	0.82	-2.75	-1.21	0.031	0.009	0.028	0.0313	0.0391	-0.0683	0.0000	0.0000	0.0000	0	0.10
20999	1.276	2.089	-3.311	0.65	-2.44	-0.82	0.029	0.029	0.019	0.0307	0.0391	-0.0678	0.0000	0.0000	0.0000	0	0.10
21006	1.292	2.076	-3.313	0.26	-2.04	-0.94	0.043	0.017	0.016	0.0301	0.0400	-0.0680	0.0000	0.0000	0.0000	0	0.10
21014	1.303	2.059	-3.308	-0.05	-2.01	-0.56	0.029	0.033	-0.014	0.0294	0.0397	-0.0670	0.0000	0.0000	0.0000	0	0.10
21021	1.316	2.041	-3.304	0.29	-1.97	-0.51	0.016	0.024	-0.025	0.0302	0.0390	-0.0672	0.0000	0.0000	0.0000	0	0.10
21028	1.332	2.021	-3.300	0.62	-1.95	-0.33	-0.013	0.014	-0.041	0.0309	0.0382	-0.0671	0.0000	0.0000	0.0000	0	0.10
21036	1.347	1.997	-3.292	0.62	-2.13	-0.15	-0.025	0.023	-0.021	0.0312	0.0373	-0.0665	0.0000	0.0000	0.0000	0	0.10
21043	1.361	1.973	-3.283	0.74	-2.19	-0.30	-0.038	0.017	-0.022	0.0319	0.0367	-0.0667	0.0000	0.0000	0.0000	0	0.10
21050	1.374	1.952	-3.276	0.64	-2.15	-0.25	-0.040	0.006	-0.005	0.0319	0.0364	-0.0664	0.0000	0.0000	0.0000	0	0.10
21058	1.380	1.935	-3.265	0.36	-1.86	-0.05	-0.030	-0.017	-0.007	0.0311	0.0366	-0.0658	0.0000	0.0000	0.0000	0	0.10
21065	1.384	1.922	-3.256	-0.13	-1.76	0.22	-0.009	-0.021	0.011	0.0300	0.0367	-0.0648	0.0000	0.0000	0.0000	0	0.10
21072	1.391	1.911	-3.252	-0.41	-1.54	0.18	-0.003	-0.029	0.011	0.0295	0.0371	-0.0647	0.0000	0.0000	0.0000	0	0.10
21079	1.402	1.904	-3.256	-0.22	-1.49	0.06	0.005	-0.031	0.020	0.0302	0.0370	-0.0652	0.0000	0.0000	0.0000	0	0.10
21087	1.415	1.895	-3.261	-0.01	-1.39	-0.36	0.009	-0.015	0.029	0.0311	0.0372	-0.0663	0.0000	0.0000	0.0000	0	0.10
21094	1.432	1.886	-3.268	0.10	-1.11	-0.43	0.002	-0.002	0.030	0.0314	0.0374	-0.0669	0.0000	0.0000	0.0000	0	0.10
21102	1.444	1.881	-3.277	0.29	-1.03	-0.60	0.015	-0.004	0.033	0.0321	0.0375	-0.0676	0.0000	0.0000	0.0000	0	0.10
21109	1.454	1.880	-3.285	0.38	-0.73	-0.56	0.013	-0.015	0.009	0.0322	0.0379	-0.0681	0.0000	0.0000	0.0000	0	0.10
21116	1.462	1.878	-3.291	-0.12	-0.44	-0.36	0.022	-0.014	-0.012	0.0310	0.0386	-0.0677	0.0000	0.0000	0.0000	0	0.10
21124	1.467	1.875	-3.293	-0.37	-0.44	-0.11	0.013	-0.012	-0.015	0.0305	0.0386	-0.0670	0.0000	0.0000	0.0000	0	0.10
21132	1.470	1.870	-3.291	-0.65	-0.20	0.14	0.008	0.002	-0.027	0.0296	0.0389	-0.0665	0.0000	0.0000	0.0000	0	0.10
21139	1.474	1.865	-3.290	-0.54	-0.01	0.16	-0.012	0.006	-0.033	0.0297	0.0391	-0.0667	0.0000	0.0000	0.0000	0	0.10
21146	1.474	1.859	-3.285	-0.50	0.18	0.35	-0.007	0.026	-0.038	0.0295	0.0391	-0.0665	0.0000	0.0000	0.0000	0	0.10
21154	1.472	1.853	-3.277	-0.72	0.14	0.40	-0.013	0.008	-0.034	0.0290	0.0390	-0.0660	0.0000	0.0000	0.0000	0	0.10
21162	1.469	1.847	-3.268	-0.73	0.16	0.50	-0.034	-0.006	-0.020	0.0288	0.0389	-0.0657	0.0000	0.0000	0.0000	0	0.10
21169	1.465	1.840	-3.257	-0.73	-0.03	1.00	-0.024	-0.003	-0.021	0.0285	0.0379	-0.0644	0.0000	0.0000	0.0000	0	0.10
21176	1.458	1.831	-3.241	-0.90	-0.23	1.16	-0.031	-0.010	-0.006	0.0281	0.0374	-0.0635	0.0000	0.0000	0.0000	0	0.10
21184	1.448	1.827	-3.227	-1.10	0.00	1.13	-0.002	-0.007	0.005	0.0273	0.0379	-0.0633	0.0000	0.0000	0.0000	0	0.10
21192	1.440	1.828	-3.220	-1.06	-0.18	1.38	0.003	-0.012	0.011	0.0272	0.0374	-0.0626	0.0000	0.0000	0.0000	0	0.10
21199	1.433	1.829	-3.215	-1.00	-0.05	1.51	0.017	-0.027	0.023	0.0269	0.0375	-0.0624	0.0000	0.0000	0.0000	0	0.10
21206	1.428	1.838	-3.218	-0.88	-0.04	1.16	0.023	-0.023	0.032	0.0273	0.0379	-0.0632	0.0000	0.0000	0.0000	0	0.10
21214	1.422	1.848	-3.222	-0.80	-0.23	1.06	0.013	0.006	0.026	0.0276	0.0378	-0.0634	0.0000	0.0000	0.0000	0	0.10
21221	1.415	1.860	-3.227	-0.64	-0.06	1.05	0.016	0.014	0.027	0.0276	0.0382	-0.0638	0.0000	0.0000	0.0000	0	0.10
21229	1.410	1.872	-3.233	-0.56	-0.03	0.73	0.027	0.009	0.032	0.0279	0.0387	-0.0645	0.0000	0.0000	0.0000	0	0.10
21236	1.402	1.884	-3.236	-0.63	0.10	0.77	0.027	0.010	0.041	0.0274	0.0392	-0.0646	0.0000	0.0000	0.0000	0	0.10
21243	1.391	1.894	-3.236	-0.76	0.31	0.90	0.018	0.002	0.029	0.0267	0.0398	-0.0644	0.0000	0.0000	0.0000	0	0.10
21251	1.376	1.901	-3.228	-0.65	0.51	0.92	0.005	0.033	0.009	0.0264	0.0402	-0.0645	0.0000	0.0000	0.0000	0	0.10
21258	1.365	1.899	-3.215	-0.60	0.26	1.11	0.007	0.032	-0.004	0.0263	0.0395	-0.0637	0.0000	0.0000	0.0000	0	0.10
21265	1.355	1.890	-3.195	-0.87	0.36	1.38	-0.004	0.003	-0.034	0.0253	0.0395	-0.0627	0.0000	0.0000	0.0000	0	0.10
21273	1.346	1.879	-3.176	-0.58	0.21	1.67	-0.013	0.011	-0.043	0.0255	0.0385	-0.0620	0.0000	0.0000	0.0000	0	0.10
21280	1.342	1.865	-3.159	-0.73	0.21	1.50	-0.024	-0.009	-0.042	0.0253	0.0385	-0.0617	0.0000	0.0000	0.0000	0	0.10
21288	1.336	1.850	-3.137	-0.48	0.11	1.66	-0.033	0.002	-0.030	0.0255	0.0377	-0.0612	0.0000	0.0000	0.0000	0	0.10
21295	1.329	1.838	-3.119	-0.51	0.12	1.59	-0.035	-0.002	-0.033	0.0254	0.0375	-0.0609	0.0000	0.0000	0.0000	0	0.10
21303	1.322	1.827	-3.101	-0.46	0.14	1.52	-0.029	-0.010	-0.005	0.0254	0.0373	-0.0607	0.0000	0.0000	0.0000	0	0.10
21310	1.318	1.818	-3.088	-0.47	-0.02	1.37	-0.020	0.003	0.001	0.0255	0.0370	-0.0606	0.0000	0.0000	0.0000	0	0.10
21317	1.310	1.816	-3.078	-0.50	0.21	1.07	-0.005	-0.015	0.023	0.0254	0.0376	-0.0610	0.0000	0.0000	0.0000	0	0.10
21324	1.301	1.817	-3.071	-0.55	0.36	0.97	0.015	0.012	0.025	0.0251	0.0381	-0.0611	0.0000	0.0000	0.0000	0	0.10
21332	1.288	1.824	-3.065	-0.74	0.59	0.51	0.019	-0.003	0.039	0.0247	0.0392	-0.0618	0.0000	0.0000	0.0000	0	0.10
21339	1.278	1.834	-3.064	-0.53	0.67	0.42	0.043	0.007	0.033	0.0249	0.0394	-0.0622	0.0000	0.0000	0.0000	0	0.10
21346	1.269	1.844	-3.066	-0.55	0.79	0.54	0.034	0.012	0.020	0.0245	0.0398	-0.0621	0.0000	0.0000	0.0000	0	0.10
21354	1.263	1.855	-3.070	-0.61	0.84	0.23	0.022	0.017	0.003	0.0245	0.0404	-0.0627	0.0000	0.0000	0.0000	0	0.10
21361	1.261	1.863	-3.076	-0.45	0.92	0.31	0.009	0.007	0.003	0.0246	0.0405	-0.0629	0.0000	0.0000	0.0000	0	0.10
21369	1.260	1.871	-3.083	-0.18	1.22	0.26	0.007	0.026	-0.009	0.0248	0.0410	-0.0637	0.0000	0.0000	0.0000	0	0.10
21376	1.256	1.881	-3.088	-0.26	1.12	-0.09	0.008	0.011	-0.026	0.0250	0.0414	-0.0642	0.0000	0.0000	0.0000	0	0.10
21383	1.251	1.890	-3.092	-0.37	1.15	0.10	-0.025	0.017	-0.036	0.0245	0.0416	-0.0639	0.0000	0.0000	0.0000	0	0.10
21391	1.248	1.894	-3.092	-0.64	1.30	0.00	-0.031	0.005	-0.030	0.0239	0.0423	-0.0639	0.0000	0.0000	0.0000	0	0.10
21398	1.242	1.899	-3.092	-0.37	1.06	0.19	-0.025	-0.015	-0.023	0.0243	0.0415	-0.0636	0.0000	0.0000	0.0000	0	0.10
21405	1.231	1.900	-3.082	-0.38	0.86	0.51	-0.013	0.011	-0.015	0.0239	0.0409	-0.0627	0.0000	0.0000	0.0000	0	0.10
21412	1.223	1.896	-3.070	-0.91	0.81	0.55	-0.002	-0.013	-0.011	0.0229	0.0412	-0.0619	0.0000	0.0000	0.0000	0	0.10
21420	1.215	1.893	-3.059	-0.99	0.50	0.85	0.023	-0.009	-0.001	0.0226	0.0404	-0.0608	0.0000	0.0000	0.0000	0	0.10
21427	1.209	1.895	-3.055	-0.87	0.16	0.85	0.021	-0.002	0.021	0.0229	0.0397	-0.0605	0.0000	0.0000	0.0000	0	0.10
21435	1.202	1.895	-3.048	-0.47	-0.21	0.82	0.024	0.002	0.037	0.0238	0.0387	-0.0605	0.0000	0.0000	0.0000	0	0.10
21442	1.198	1.890	-3.039	-0.18	-0.30	0.73	0.007	-0.006	0.036	0.0244	0.0383	-0.0606	0.0000	0.0000	0.0000	0	0.10
21449	1.190	1.896	-3.037	-0.11	-0.36	0.50	0.013	-0.003	0.024	0.0246	0.0384	-0.0610	0.0000	0.0000	0.0000	0	0.10
21457	1.179	1.908	-3.038	-0.38	-0.03	0.66	-0.001	0.035	0.035	0.0235	0.0394	-0.0608	0.0000	0.0000	0.0000	0	0.10
