526968	0.729	-0.533	-0.210	2.00	2.18	2.51	0.006	-0.014	0.020	0.164	-0.816	-0.006	0.1200	-0.1051	-0.0414	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	1.99	2.42	2.27
526976	0.727	-0.531	-0.210	1.90	2.36	2.43	-0.011	-0.004	0.019	0.164	-0.815	-0.006	0.1200	-0.1033	-0.0415	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	2.01	2.42	2.28
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	rho_x_lp	rho_y_lp	rho_z_lp	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale	trim_x_deg	trim_y_deg	trim_z_deg	trim_com_mm	trim_enabled	om_x_filt_dps	om_y_filt_d
526986	0.728	-0.524	-0.218	2.16	2.72	2.44	-0.025	0.000	0.012	0.164	-0.815	-0.006	0.1200	-0.1004	-0.0450	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	2.10	2.52	2.33
526994	0.727	-0.517	-0.224	2.17	2.20	2.53	-0.027	0.016	-0.005	0.164	-0.814	-0.006	0.1200	-0.0984	-0.0477	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	2.15	2.47	2.41
527002	0.723	-0.519	-0.218	2.31	2.45	2.25	-0.045	0.049	-0.019	0.163	-0.813	-0.006	0.1200	-0.0953	-0.0504	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	2.24	2.47	2.36
527010	0.722	-0.516	-0.220	2.55	2.37	2.52	-0.038	0.038	-0.040	0.163	-0.813	-0.006	0.1200	-0.0986	-0.0529	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	2.37	2.38	2.39
527018	0.722	-0.516	-0.220	2.36	2.12	2.53	-0.029	0.047	-0.053	0.163	-0.812	-0.006	0.1200	-0.1014	-0.0507	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	2.37	2.25	2.52
527026	0.722	-0.514	-0.221	2.60	2.08	2.32	-0.033	0.019	-0.053	0.163	-0.811	-0.006	0.1200	-0.1044	-0.0528	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	2.45	2.22	2.43
527034	0.724	-0.513	-0.225	2.73	2.28	2.52	-0.011	0.017	-0.037	0.163	-0.811	-0.006	0.1200	-0.1067	-0.0521	0.0000	0.0000	0.0000	0	1.00	1.6145	-0.6390	-0.9926	4.782	1	2.58	2.20	2.51
