84785	-0.895	0.076	0.821	0.20	0.19	0.23	0.033	-0.007	-0.002	2.545	-2.448	-0.153	-0.1200	0.0119	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.15	0.00	0.17
84793	-0.903	0.079	0.826	0.35	0.28	0.31	0.018	-0.008	0.007	2.543	-2.447	-0.152	-0.1200	0.0126	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.23	0.10	0.28
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	rho_x_lp	rho_y_lp	rho_z_lp	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale	trim_x_deg	trim_y_deg	trim_z_deg	trim_com_mm	trim_enabled	om_x_filt_dps	om_y_filt_d
84803	-0.905	0.073	0.834	0.25	0.28	0.40	-0.001	-0.010	0.021	2.541	-2.445	-0.152	-0.1200	0.0109	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.27	0.14	0.37
84811	-0.904	0.068	0.838	0.29	0.32	0.44	-0.025	-0.021	0.034	2.539	-2.443	-0.152	-0.1200	0.0101	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.21	0.26	0.45
84819	-0.903	0.068	0.837	0.07	0.32	0.44	-0.025	-0.018	0.042	2.537	-2.441	-0.152	-0.1200	0.0116	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.20	0.31	0.44
84827	-0.905	0.064	0.843	0.47	0.16	-0.23	-0.030	-0.015	0.034	2.535	-2.439	-0.152	-0.1200	0.0104	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.29	0.22	0.25
84835	-0.909	0.067	0.844	0.44	0.33	-0.15	-0.036	-0.027	0.021	2.533	-2.437	-0.152	-0.1200	0.0112	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.42	0.30	0.09
84843	-0.914	0.068	0.848	0.09	0.26	-0.05	-0.012	-0.020	0.010	2.531	-2.435	-0.152	-0.1200	0.0140	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.27	0.29	0.00
84851	-0.916	0.070	0.849	0.33	0.11	-0.46	-0.019	-0.004	-0.012	2.529	-2.433	-0.151	-0.1200	0.0158	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.28	0.18	-0.11
84859	-0.916	0.070	0.848	0.49	-0.02	-0.59	0.000	0.002	-0.024	2.527	-2.431	-0.151	-0.1200	0.0141	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.40	0.02	-0.22
84867	-0.910	0.070	0.843	0.70	-0.10	-0.40	0.003	0.010	-0.031	2.524	-2.429	-0.151	-0.1200	0.0132	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.57	-0.05	-0.30
84875	-0.911	0.072	0.841	0.85	-0.26	-0.39	0.005	0.003	-0.034	2.522	-2.427	-0.151	-0.1200	0.0121	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.70	-0.06	-0.40
84883	-0.909	0.074	0.838	0.80	0.09	-0.38	0.038	0.016	-0.032	2.520	-2.425	-0.151	-0.1200	0.0157	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.74	-0.01	-0.50
84891	-0.905	0.070	0.837	0.42	-0.14	-0.62	0.024	0.006	-0.035	2.518	-2.423	-0.151	-0.1200	0.0128	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.74	-0.06	-0.54
84899	-0.902	0.072	0.832	0.86	-0.39	-0.69	0.024	0.004	-0.001	2.517	-2.421	-0.151	-0.1200	0.0107	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.75	-0.21	-0.61
84907	-0.898	0.071	0.830	0.72	-0.46	-0.59	0.017	0.013	0.008	2.515	-2.419	-0.151	-0.1200	0.0079	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.85	-0.40	-0.66
84915	-0.887	0.067	0.822	0.64	-0.10	-0.66	0.003	-0.011	-0.001	2.513	-2.417	-0.151	-0.1200	0.0051	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.81	-0.33	-0.64
84923	-0.880	0.064	0.817	0.81	-0.21	-0.51	-0.003	-0.012	0.016	2.510	-2.415	-0.151	-0.1200	0.0045	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.79	-0.29	-0.58
84931	-0.871	0.062	0.811	0.69	-0.34	-0.47	-0.025	-0.009	0.012	2.508	-2.414	-0.150	-0.1200	0.0051	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.73	-0.25	-0.52
84939	-0.856	0.056	0.802	0.66	-0.26	-0.31	-0.040	0.009	0.004	2.506	-2.412	-0.150	-0.1200	0.0063	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.69	-0.23	-0.35
84947	-0.852	0.058	0.796	0.58	0.14	0.01	-0.038	0.000	0.002	2.504	-2.410	-0.150	-0.1200	0.0070	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.60	-0.08	-0.15
84955	-0.845	0.053	0.794	0.22	-0.25	0.13	-0.028	-0.005	0.011	2.502	-2.408	-0.150	-0.1200	0.0049	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.42	-0.13	-0.05
84963	-0.843	0.052	0.792	0.23	-0.03	0.53	-0.008	-0.005	0.004	2.500	-2.406	-0.150	-0.1200	0.0020	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.36	-0.18	0.23
84971	-0.840	0.052	0.789	0.02	-0.13	0.51	-0.011	0.006	-0.001	2.498	-2.404	-0.150	-0.1200	0.0052	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.25	-0.12	0.28
84979	-0.840	0.050	0.791	0.23	-0.20	0.70	-0.001	0.007	-0.001	2.496	-2.402	-0.150	-0.1200	0.0037	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.20	-0.15	0.42
84987	-0.837	0.045	0.793	0.24	-0.05	0.85	0.025	-0.006	-0.006	2.494	-2.400	-0.150	-0.1200	-0.0003	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.22	-0.11	0.57
84995	-0.838	0.043	0.797	0.19	-0.02	0.45	0.021	-0.006	-0.007	2.492	-2.398	-0.149	-0.1200	0.0005	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.21	-0.06	0.58
85003	-0.837	0.038	0.801	0.17	-0.03	0.70	0.024	-0.010	-0.003	2.490	-2.396	-0.149	-0.1200	-0.0013	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.18	-0.05	0.61
85011	-0.840	0.032	0.809	0.42	0.26	0.47	0.057	0.013	0.003	2.488	-2.394	-0.149	-0.1200	0.0034	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.23	0.09	0.59
85019	-0.836	0.025	0.812	0.33	-0.04	0.43	0.045	-0.012	-0.001	2.487	-2.392	-0.149	-0.1200	-0.0026	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.28	0.05	0.53
85027	-0.835	0.020	0.816	0.11	0.10	0.31	0.032	-0.026	0.018	2.485	-2.390	-0.149	-0.1200	-0.0035	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.21	0.10	0.43
85035	-0.833	0.017	0.817	0.01	0.28	0.23	0.013	-0.012	0.014	2.483	-2.389	-0.149	-0.1200	-0.0001	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.13	0.13	0.36
85043	-0.836	0.019	0.818	-0.00	0.01	-0.13	-0.000	-0.025	0.012	2.481	-2.387	-0.149	-0.1200	0.0009	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.10	0.13	0.11
85051	-0.845	0.028	0.818	0.03	0.22	-0.26	-0.013	-0.003	-0.003	2.479	-2.385	-0.149	-0.1200	0.0084	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.06	0.19	0.00
85059	-0.850	0.035	0.816	-0.36	0.20	-0.28	-0.027	0.007	-0.018	2.477	-2.383	-0.148	-0.1200	0.0152	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	-0.09	0.24	-0.18
85067	-0.851	0.039	0.814	0.22	0.13	-0.26	-0.033	0.004	-0.012	2.475	-2.381	-0.148	-0.1200	0.0173	0.1200	0.0000	0.0000	0.0000	0	1.00	0.2291	0.2633	-0.4856	1.430	1	0.01	0.25	-0.46
