10992	2.890	-3.723	0.735	-9.53	0.68	-10.62	-0.026	0.023	-0.027	0.000	-0.000	0.000	0.1200	-0.1200	0.0388	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11000	2.861	-3.644	0.688	-9.01	0.81	-10.32	-0.028	0.038	-0.016	0.000	-0.000	0.000	0.1200	-0.1200	0.0299	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	rho_x_lp	rho_y_lp	rho_z_lp	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale	trim_x_deg	trim_y_deg	trim_z_deg	trim_com_mm	trim_enabled
11010	2.822	-3.531	0.616	-8.29	1.14	-9.05	-0.013	0.034	-0.036	0.000	0.000	0.000	0.1200	-0.1200	0.0251	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11018	2.794	-3.457	0.572	-7.79	0.73	-8.08	-0.003	0.024	-0.037	0.000	0.000	0.000	0.1200	-0.1200	0.0315	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11026	2.772	-3.390	0.529	-6.78	0.64	-6.88	0.005	0.016	-0.037	0.000	0.000	0.000	0.1200	-0.1200	0.0349	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11034	2.744	-3.325	0.493	-5.94	0.52	-5.80	0.012	0.005	-0.042	0.000	0.000	0.000	0.1200	-0.1200	0.0391	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11042	2.713	-3.257	0.458	-5.31	0.66	-4.98	0.003	0.008	-0.024	0.000	0.000	0.000	0.1200	-0.1200	0.0412	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11050	2.685	-3.198	0.429	-3.90	0.72	-3.71	0.019	-0.021	-0.023	0.000	0.000	0.000	0.1200	-0.1200	0.0437	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11058	2.660	-3.150	0.408	-2.72	0.85	-2.38	-0.008	-0.023	-0.004	0.000	0.000	0.000	0.1200	-0.1200	0.0534	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11065	2.636	-3.110	0.392	-1.66	0.97	-0.81	0.001	-0.035	0.011	0.000	0.000	0.000	0.1200	-0.1200	0.0689	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11073	2.617	-3.077	0.379	-0.32	0.81	0.24	-0.007	-0.037	0.015	0.000	0.000	0.000	0.1200	-0.1200	0.0740	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11081	2.597	-3.047	0.369	0.78	0.62	1.43	-0.016	-0.029	0.018	0.000	-0.000	0.000	0.1200	-0.1200	0.0845	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11089	2.583	-3.024	0.361	1.92	1.04	2.10	-0.034	-0.022	0.032	0.000	-0.000	0.000	0.1200	-0.1200	0.0821	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11096	2.571	-3.008	0.358	2.53	0.67	3.54	-0.027	-0.025	0.037	-0.000	-0.000	0.000	0.1200	-0.1200	0.1042	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11105	2.563	-3.004	0.363	3.18	0.52	4.85	-0.009	0.008	0.028	-0.000	-0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11112	2.560	-3.015	0.375	4.38	-0.20	5.43	-0.010	0.025	0.025	-0.000	-0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11120	2.558	-3.029	0.391	5.07	-0.78	6.05	0.008	0.029	0.025	-0.000	-0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11128	2.556	-3.039	0.404	5.67	-1.06	6.80	0.024	0.051	0.006	-0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11136	2.554	-3.060	0.425	6.34	-1.70	7.28	0.032	0.052	-0.005	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11144	2.557	-3.084	0.445	6.41	-2.01	7.74	0.049	0.050	-0.014	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11152	2.564	-3.123	0.477	6.83	-2.54	8.07	0.047	0.056	-0.022	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11159	2.582	-3.175	0.510	7.45	-3.11	8.54	0.040	0.034	-0.019	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11167	2.597	-3.230	0.549	8.17	-4.18	9.10	0.022	-0.012	-0.011	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11175	2.612	-3.287	0.589	8.18	-4.14	8.63	0.021	-0.034	0.002	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11183	2.627	-3.352	0.637	8.25	-4.50	9.13	0.003	-0.038	0.008	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11191	2.652	-3.425	0.682	8.37	-4.82	8.81	-0.002	-0.047	0.024	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11198	2.681	-3.503	0.730	8.80	-5.45	8.79	-0.014	-0.040	0.026	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11206	2.708	-3.583	0.781	8.00	-5.53	8.19	-0.026	-0.039	0.040	0.000	-0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11214	2.741	-3.669	0.831	8.42	-5.72	8.17	-0.019	-0.010	0.050	0.000	-0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11222	2.768	-3.750	0.884	8.00	-6.35	7.21	-0.005	0.013	0.040	0.000	-0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11230	2.801	-3.837	0.935	7.81	-6.79	6.68	-0.004	0.047	0.044	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11238	2.837	-3.926	0.985	7.70	-6.67	6.04	0.003	0.034	0.042	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
11246	2.880	-4.021	1.036	7.45	-6.68	5.25	0.011	0.040	0.012	0.000	0.000	0.000	0.1200	-0.1200	0.1200	0.0000	0.0000	0.0000	0	1.00	0.0000	0.0000	0.0000	0.000	1
